Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,104.20,104.48,103.46,103.68,3443400,103.68
2014-05-23,103.15,104.15,103.15,104.03,2888600,104.03
2014-05-22,102.90,103.88,102.51,103.08,3112300,103.08
2014-05-21,101.48,103.00,101.48,102.88,5460200,102.88
2014-05-20,104.79,104.81,100.72,101.56,9266600,101.56
2014-05-19,105.42,105.53,104.72,105.39,3924300,105.39
2014-05-16,105.05,106.05,104.17,106.03,4403300,106.03
2014-05-15,106.49,106.74,104.04,104.99,5151000,104.99
2014-05-14,106.85,107.04,106.30,106.53,3082300,106.53
2014-05-13,106.50,108.21,105.82,107.15,3945100,107.15
2014-05-12,105.71,106.50,105.65,106.20,3664200,106.20
2014-05-09,104.96,105.30,104.30,105.06,2758100,105.06
2014-05-08,104.55,105.02,104.15,104.94,3118400,104.94
2014-05-07,104.10,104.66,103.43,104.62,3399800,104.62
2014-05-06,104.21,104.47,103.60,103.87,2836300,103.87
2014-05-05,104.66,104.80,103.81,104.52,3166400,104.52
2014-05-02,104.93,105.58,104.73,105.01,2677000,105.01
2014-05-01,105.20,105.79,104.63,105.07,2970800,105.07
2014-04-30,105.23,106.24,104.99,105.40,5199300,105.40
2014-04-29,104.79,105.50,103.83,105.30,4975800,105.30
2014-04-28,104.99,105.42,103.25,104.26,4036200,104.26
2014-04-25,105.03,105.28,103.29,104.69,5731800,104.69
2014-04-24,106.02,107.40,104.79,105.28,8849200,105.28
2014-04-23,103.56,104.62,103.18,103.38,6427400,103.38
2014-04-22,102.78,104.14,102.76,103.69,4528500,103.69
2014-04-21,102.90,102.98,101.55,102.64,3821400,102.64
