Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,24.74,24.88,24.63,24.71,32365700,24.71
2014-05-23,24.38,24.57,24.35,24.52,27778000,24.52
2014-05-22,24.42,24.54,24.29,24.38,26751000,24.38
2014-05-21,24.22,24.65,24.17,24.48,65249300,24.48
2014-05-20,24.26,24.39,24.02,24.12,56321600,24.12
2014-05-19,24.24,24.45,24.12,24.35,39388900,24.35
2014-05-16,24.14,24.45,24.06,24.37,40477000,24.37
2014-05-15,24.27,24.69,24.12,24.18,120890900,24.18
2014-05-14,22.92,23.05,22.63,22.81,58979900,22.81
2014-05-13,23.14,23.21,22.76,22.86,57922200,22.86
2014-05-12,23.04,23.34,23.00,23.19,40216100,23.19
2014-05-09,22.96,23.11,22.92,23.02,22587400,23.02
2014-05-08,22.90,23.17,22.76,23.02,32181400,23.02
2014-05-07,22.72,22.90,22.43,22.87,38895200,22.87
2014-05-06,22.84,22.89,22.63,22.72,21815200,22.72
2014-05-05,22.90,23.00,22.72,22.96,17859200,22.96
2014-05-02,23.11,23.12,22.90,22.94,18757000,22.94
2014-05-01,23.14,23.15,22.91,23.01,17463700,23.01
2014-04-30,23.08,23.14,22.92,23.11,23948500,23.11
2014-04-29,23.20,23.21,23.06,23.16,14582400,23.16
2014-04-28,23.15,23.24,22.79,23.02,36817100,23.02
2014-04-25,23.27,23.32,22.88,23.00,25087300,23.00
2014-04-24,23.64,23.64,23.24,23.33,33976700,23.33
2014-04-23,23.52,23.57,23.24,23.50,29972800,23.50
2014-04-22,23.43,23.61,23.40,23.52,28725000,23.52
2014-04-21,23.22,23.59,23.18,23.40,38795200,23.40
