Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,26.55,26.63,26.45,26.57,18295500,26.57
2014-05-23,26.55,26.58,26.43,26.51,14814900,26.51
2014-05-22,26.42,26.57,26.31,26.51,15628700,26.51
2014-05-21,26.37,26.52,26.35,26.49,17443900,26.49
2014-05-20,26.61,26.62,26.15,26.30,23444600,26.30
2014-05-19,26.55,26.69,26.48,26.61,18097400,26.61
2014-05-16,26.49,26.68,26.37,26.67,28840900,26.67
2014-05-15,26.72,26.80,26.32,26.60,33770800,26.60
2014-05-14,26.91,26.96,26.67,26.76,20726100,26.76
2014-05-13,26.89,26.95,26.77,26.92,20480900,26.92
2014-05-12,26.58,26.86,26.51,26.85,23710800,26.85
2014-05-09,26.56,26.57,26.31,26.42,17422900,26.42
2014-05-08,26.48,26.60,26.30,26.44,20886900,26.44
2014-05-07,26.27,26.53,26.27,26.53,24319700,26.53
2014-05-06,26.51,26.53,26.19,26.19,24998200,26.19
2014-05-05,26.69,26.69,26.50,26.58,16589600,26.58
2014-05-02,26.77,26.87,26.66,26.68,23455100,26.68
2014-05-01,26.73,26.83,26.64,26.77,25764900,26.77
2014-04-30,26.80,26.90,26.65,26.89,29122200,26.89
2014-04-29,26.83,26.88,26.59,26.76,27628800,26.76
2014-04-28,26.72,26.85,26.53,26.78,34546000,26.78
2014-04-25,26.57,26.80,26.55,26.60,33750200,26.60
2014-04-24,26.44,26.64,26.23,26.46,25563900,26.46
2014-04-23,26.57,26.66,26.39,26.42,29532200,26.42
2014-04-22,26.70,26.77,26.57,26.58,27796600,26.58
2014-04-21,26.63,26.71,26.56,26.59,25110600,26.59
