Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,40.26,40.26,39.81,40.19,26160600,40.19
2014-05-23,40.37,40.37,40.00,40.12,18020000,40.12
2014-05-22,40.29,40.35,39.85,40.10,20201800,40.10
2014-05-21,39.80,40.35,39.74,40.35,22398700,40.35
2014-05-20,39.68,39.94,39.46,39.68,21320900,39.68
2014-05-19,39.61,39.82,39.46,39.75,24524100,39.75
2014-05-16,39.67,39.84,39.27,39.83,29867100,39.83
2014-05-15,40.09,40.40,39.51,39.60,37777200,39.60
2014-05-14,40.30,40.45,40.05,40.24,18805400,40.24
2014-05-13,39.92,40.50,39.85,40.42,27004800,40.42
2014-05-12,39.74,40.02,39.65,39.97,22782600,39.69
2014-05-09,39.54,39.85,39.37,39.54,29647600,39.26
2014-05-08,39.34,39.90,38.97,39.64,32120400,39.36
2014-05-07,39.22,39.51,38.51,39.42,41744500,39.14
2014-05-06,39.29,39.35,38.95,39.06,27112400,38.79
2014-05-05,39.52,39.64,39.30,39.43,22460900,39.15
2014-05-02,40.31,40.34,39.66,39.69,43416600,39.41
2014-05-01,40.24,40.36,39.95,40.00,28787400,39.72
2014-04-30,40.40,40.50,40.17,40.40,35458700,40.12
2014-04-29,41.10,41.19,40.39,40.51,29636200,40.23
2014-04-28,40.14,41.29,40.09,40.87,50610200,40.58
2014-04-25,40.29,40.68,39.75,39.91,56876800,39.63
2014-04-24,39.74,39.97,39.30,39.86,42381600,39.58
2014-04-23,39.99,39.99,39.47,39.69,24602800,39.41
2014-04-22,39.96,40.14,39.83,39.99,27056700,39.71
2014-04-21,40.13,40.15,39.79,39.94,22221200,39.66
