Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,76.44,76.85,76.22,76.61,3349000,76.61
2014-05-23,75.13,76.32,74.96,75.85,3667600,75.85
2014-05-22,74.42,74.93,74.00,74.88,2433200,74.88
2014-05-21,73.38,74.26,73.26,74.21,2335900,74.21
2014-05-20,74.04,74.10,73.11,73.26,2934600,73.26
2014-05-19,74.02,74.55,73.73,74.49,2330500,74.49
2014-05-16,72.96,73.95,72.83,73.94,2688400,73.94
2014-05-15,73.41,73.62,72.37,72.94,3007800,72.94
2014-05-14,74.48,74.65,73.50,73.58,3140600,73.58
2014-05-13,74.67,75.00,74.53,74.59,2226200,74.59
2014-05-12,73.62,74.66,73.37,74.63,3318200,74.63
2014-05-09,72.87,73.58,72.69,73.45,2399400,73.45
2014-05-08,72.28,73.35,72.25,73.05,3982600,73.05
2014-05-07,72.71,72.83,71.53,72.18,2802700,72.18
2014-05-06,72.99,73.17,72.21,72.25,2278100,72.25
2014-05-05,72.67,73.43,72.26,73.29,2327800,73.29
2014-05-02,72.93,73.53,72.84,72.99,2024000,72.99
2014-05-01,72.81,73.38,72.59,72.92,2387100,72.92
2014-04-30,72.33,73.06,72.09,72.95,3086900,72.95
2014-04-29,71.72,72.72,71.65,72.48,3103200,72.48
2014-04-28,73.36,73.69,71.10,71.67,5698400,71.67
2014-04-25,73.09,73.70,72.51,72.70,3240600,72.70
2014-04-24,74.02,74.37,73.10,73.39,3377100,73.39
2014-04-23,74.54,74.86,74.01,74.10,2359700,74.10
2014-04-22,73.71,74.70,73.71,74.35,2561100,74.35
2014-04-21,73.91,74.06,73.32,73.90,3405900,73.90
