Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,35.29,35.40,35.10,35.21,22436000,35.21
2014-05-23,35.36,35.55,35.25,35.32,17362400,35.32
2014-05-22,35.32,35.50,35.25,35.38,18026200,35.38
2014-05-21,35.67,35.71,35.09,35.27,32682800,35.27
2014-05-20,36.35,36.35,35.42,35.50,39959400,35.50
2014-05-19,35.99,36.75,35.77,36.38,77607200,36.38
2014-05-16,36.55,36.79,36.51,36.74,24018800,36.74
2014-05-15,36.40,36.61,35.58,36.52,20310700,36.52
2014-05-14,36.10,36.57,36.01,36.39,24179500,36.39
2014-05-13,36.48,36.54,35.89,36.20,34232400,36.20
2014-05-12,36.73,36.74,36.16,36.57,23982100,36.57
2014-05-09,36.38,36.51,36.18,36.44,15013700,36.44
2014-05-08,35.89,36.86,35.80,36.40,36474100,36.40
2014-05-07,35.56,35.96,35.52,35.76,20267000,35.76
2014-05-06,35.76,35.76,35.48,35.49,21487700,35.49
2014-05-05,35.58,35.76,35.44,35.76,15938700,35.76
2014-05-02,35.70,35.80,35.52,35.63,15943400,35.63
2014-05-01,35.75,36.00,35.41,35.58,27837400,35.58
2014-04-30,35.43,35.74,35.26,35.70,22553300,35.70
2014-04-29,35.32,35.48,35.05,35.42,20731900,35.42
2014-04-28,34.67,35.15,34.56,35.08,29626400,35.08
2014-04-25,34.43,34.55,34.32,34.49,21984700,34.49
2014-04-24,35.00,35.10,34.45,34.50,36619900,34.50
2014-04-23,35.01,35.35,34.46,34.92,59638700,34.92
2014-04-22,36.10,36.41,35.96,36.29,32001000,36.29
2014-04-21,36.08,36.17,35.86,36.06,18756500,36.06
