Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,116.09,116.33,115.65,115.85,1988300,115.85
2014-05-23,115.06,115.66,114.93,115.54,1505100,115.54
2014-05-22,114.47,115.51,114.28,115.04,2176400,115.04
2014-05-21,113.60,114.96,113.60,114.84,3330100,114.84
2014-05-20,114.83,115.13,112.60,113.10,3751200,113.10
2014-05-19,114.07,115.57,113.92,115.02,3205300,115.02
2014-05-16,115.87,116.22,114.48,114.58,4486300,114.58
2014-05-15,117.05,117.25,115.34,115.70,2864200,115.70
2014-05-14,118.56,118.57,117.16,117.32,1767800,117.32
2014-05-13,119.02,119.19,118.68,118.74,2077100,118.15
2014-05-12,117.44,118.75,117.39,118.63,2795300,118.04
2014-05-09,116.82,117.28,116.15,116.99,2185000,116.41
2014-05-08,116.87,118.09,116.78,117.02,2520200,116.44
2014-05-07,116.27,117.07,115.63,116.91,2605300,116.33
2014-05-06,116.33,116.62,115.91,116.01,1958000,115.43
2014-05-05,116.03,117.15,115.51,116.82,2825300,116.24
2014-05-02,116.03,117.42,115.85,116.52,5802400,115.94
2014-05-01,118.03,118.52,116.61,116.80,4122100,116.22
2014-04-30,117.61,118.83,117.47,118.33,2841100,117.74
2014-04-29,117.92,118.35,117.06,117.56,2983400,116.98
2014-04-28,117.82,118.38,116.39,117.70,3378100,117.12
2014-04-25,118.46,118.85,116.89,117.21,3439400,116.63
2014-04-24,120.08,120.08,118.55,118.98,2150300,118.39
2014-04-23,119.08,119.94,118.94,119.65,2683300,119.06
2014-04-22,119.28,120.66,119.00,119.19,4189300,118.60
2014-04-21,118.68,119.06,118.19,118.30,2685000,117.71
