Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,101.61,101.90,100.93,101.36,8359700,101.36
2014-05-23,101.55,101.93,101.27,101.32,5410900,101.32
2014-05-22,101.81,101.97,101.47,101.50,5304300,101.50
2014-05-21,100.85,102.22,100.72,102.03,7747900,102.03
2014-05-20,100.69,101.08,100.45,100.67,6134100,100.67
2014-05-19,100.42,101.11,100.42,100.87,5837200,100.87
2014-05-16,100.59,101.00,100.32,100.74,10369200,100.74
2014-05-15,102.00,102.42,100.33,100.78,13647900,100.78
2014-05-14,102.36,102.68,102.11,102.29,6999200,102.29
2014-05-13,102.18,102.71,101.94,102.36,7528800,102.36
2014-05-12,102.33,102.35,101.53,102.23,8830500,102.23
2014-05-09,101.71,102.18,101.26,101.95,8945000,101.95
2014-05-08,103.09,103.29,102.17,102.32,8922500,101.63
2014-05-07,103.12,103.45,102.79,103.11,11007400,102.41
2014-05-06,102.60,103.30,102.41,102.67,9669800,101.98
2014-05-05,101.69,103.13,101.58,102.91,7614200,102.22
2014-05-02,101.28,102.91,100.98,102.01,11168100,101.32
2014-05-01,101.96,102.39,101.20,101.41,11161700,100.73
2014-04-30,101.13,102.41,100.71,102.41,13966700,101.72
2014-04-29,101.57,102.57,101.23,101.45,10094600,100.77
2014-04-28,100.72,101.46,100.31,101.17,12710800,100.49
2014-04-25,99.99,100.57,99.93,100.41,10391500,99.73
2014-04-24,100.48,100.60,99.86,100.01,9057800,99.34
2014-04-23,100.59,100.95,100.33,100.50,8686000,99.82
2014-04-22,100.53,100.86,100.22,100.37,8212100,99.69
2014-04-21,100.03,100.93,99.89,100.93,8002100,100.25
