Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,78.70,80.22,78.60,79.99,7627700,79.99
2014-04-16,78.38,78.98,78.19,78.95,5958800,78.95
2014-04-15,77.89,78.21,76.31,77.66,6398700,77.66
2014-04-14,77.70,77.83,76.85,77.62,5964700,77.62
2014-04-11,77.51,77.95,76.81,77.01,9204100,77.01
2014-04-10,80.92,80.92,77.48,77.51,10149500,77.51
2014-04-09,79.97,80.53,79.26,80.47,7004800,80.47
2014-04-08,79.27,79.65,78.12,79.57,7085100,79.57
2014-04-07,80.42,80.80,78.56,79.13,9000800,79.13
2014-04-04,82.32,82.85,80.40,80.43,8894400,80.43
2014-04-03,81.92,82.24,81.14,81.69,4901300,81.69
2014-04-02,81.72,81.97,81.30,81.67,6073500,81.67
2014-04-01,80.39,81.61,80.39,81.57,6555000,81.57
2014-03-31,79.70,80.39,79.66,80.07,6848800,80.07
2014-03-28,78.73,79.46,78.31,78.99,5281700,78.99
2014-03-27,78.30,78.61,77.28,78.48,9194700,78.48
2014-03-26,79.93,80.24,78.61,78.62,6750800,78.62
2014-03-25,80.24,80.34,78.60,79.55,6692400,79.55
2014-03-24,80.71,80.93,79.38,79.49,7642900,79.49
2014-03-21,81.96,82.05,80.05,80.35,7840900,80.35
2014-03-20,80.59,81.02,79.76,80.81,5968200,80.81
2014-03-19,82.25,82.30,80.04,80.52,6403200,80.52
2014-03-18,81.53,82.25,81.28,81.99,5395900,81.99
2014-03-17,80.50,81.60,80.31,81.39,7280700,81.39
2014-03-14,79.85,80.41,79.57,80.07,7754700,80.07
2014-03-13,81.75,81.98,79.66,79.93,8570600,79.93
2014-03-12,80.59,81.39,80.05,81.38,6378300,81.38
2014-03-11,82.19,82.33,80.72,81.05,7171600,81.05
2014-03-10,82.18,82.43,81.69,81.97,5209700,81.97
2014-03-07,83.60,83.65,82.02,82.21,7478100,82.21
2014-03-06,82.86,83.42,82.84,83.34,5774400,83.34
2014-03-05,82.22,83.21,82.02,82.68,7709700,82.68
2014-03-04,80.60,82.17,80.54,81.71,8021400,81.71
2014-03-03,80.30,80.65,78.85,79.46,8449400,79.46
2014-02-28,80.84,81.59,80.17,80.81,7030700,80.81
