Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,187.25,190.70,187.01,190.01,11255500,188.91
2014-04-16,198.05,198.71,195.00,196.40,8527300,195.26
2014-04-15,195.98,197.41,195.42,197.02,5351300,195.88
2014-04-14,196.24,198.24,195.88,197.77,5431100,196.63
2014-04-11,195.04,197.00,194.27,195.19,4835000,194.06
2014-04-10,196.06,199.21,195.66,195.68,8417900,194.55
2014-04-09,193.88,197.00,193.60,196.64,5480100,195.50
2014-04-08,193.89,194.17,192.69,193.29,5125000,192.17
2014-04-07,191.72,195.31,191.57,194.52,6740500,193.39
2014-04-04,193.12,193.97,191.28,191.77,6089900,190.66
2014-04-03,193.20,193.38,192.35,192.69,4091100,191.57
2014-04-02,194.24,194.50,192.49,193.55,4924100,192.43
2014-04-01,193.12,195.13,192.78,194.50,5394100,193.37
2014-03-31,191.64,193.77,191.40,192.49,8537300,191.38
2014-03-28,189.94,192.62,189.11,190.45,5194400,189.35
2014-03-27,191.91,192.67,189.32,189.83,6767700,188.73
2014-03-26,194.98,195.63,191.96,192.62,6851700,191.51
2014-03-25,188.76,195.40,188.70,195.04,10912700,193.91
2014-03-24,187.43,189.44,187.37,188.25,5738500,187.16
2014-03-21,188.50,188.70,186.40,186.67,12535200,185.59
2014-03-20,184.47,188.26,184.17,187.90,5062600,186.81
2014-03-19,185.60,186.70,183.50,184.71,4323900,183.64
2014-03-18,185.99,187.90,185.54,186.81,3961300,185.73
2014-03-17,182.66,186.35,182.66,185.81,4938100,184.73
2014-03-14,183.89,184.29,182.21,182.21,5490300,181.16
2014-03-13,186.41,187.00,183.71,183.90,4913200,182.84
2014-03-12,186.01,187.45,185.89,186.22,4833000,185.14
2014-03-11,187.41,188.45,186.04,186.76,4229500,185.68
2014-03-10,187.55,188.37,185.85,186.39,4591200,185.31
2014-03-07,188.35,188.92,187.18,187.68,4117800,186.59
2014-03-06,187.37,188.39,186.90,187.64,3817300,186.55
2014-03-05,186.57,187.95,186.40,187.14,3485200,186.06
2014-03-04,185.81,187.16,185.68,186.44,4733000,185.36
