Date,Open,High,Low,Close,Volume,Adj Close
2014-04-29,101.63,101.98,100.96,101.03,7811200,101.03
2014-04-28,100.56,101.50,100.12,101.34,8792900,101.34
2014-04-25,99.97,100.26,99.40,99.79,5895900,99.79
2014-04-24,100.24,100.37,99.55,99.96,6149900,99.96
2014-04-23,100.24,100.56,99.92,100.22,5876000,100.22
2014-04-22,100.00,100.75,99.74,100.18,7937900,100.18
2014-04-21,99.01,100.13,98.67,100.00,7031400,100.00
2014-04-17,98.69,99.65,98.69,98.96,9153500,98.96
2014-04-16,99.57,99.71,98.07,98.75,11308000,98.75
2014-04-15,98.45,99.21,98.05,99.20,13999100,99.20
2014-04-14,97.28,97.36,96.25,97.14,8617200,97.14
2014-04-11,96.20,97.20,96.05,96.87,8710700,96.87
2014-04-10,98.86,98.93,96.52,96.54,9667800,96.54
2014-04-09,98.42,99.00,97.78,98.95,8921300,98.95
2014-04-08,98.03,98.73,97.50,98.06,9601800,98.06
2014-04-07,98.39,99.36,97.83,97.89,11409200,97.89
2014-04-04,98.62,99.38,98.32,98.42,10309700,98.42
2014-04-03,97.97,98.34,97.53,98.26,5471200,98.26
2014-04-02,98.01,98.39,97.37,98.23,7995600,98.23
2014-04-01,98.31,98.68,97.37,97.94,7068500,97.94
2014-03-31,98.00,98.60,97.61,98.23,7545700,98.23
2014-03-28,97.51,98.22,96.96,97.44,8816000,97.44
2014-03-27,97.08,97.70,96.26,97.28,8694600,97.28
2014-03-26,97.51,98.47,97.05,97.05,11215100,97.05
2014-03-25,95.70,97.70,95.70,97.38,14167300,97.38
2014-03-24,95.30,95.43,94.54,95.20,13944100,95.20
2014-03-21,94.77,95.93,93.88,95.93,23988800,95.93
2014-03-20,93.52,94.19,92.96,94.12,5727400,94.12
2014-03-19,93.89,94.36,92.92,93.59,5937600,93.59
2014-03-18,93.90,94.24,93.48,93.94,5891900,93.94
2014-03-17,93.26,94.18,93.18,93.93,5872600,93.93
2014-03-14,92.88,93.44,92.46,92.81,7337800,92.81
2014-03-13,93.85,94.20,92.98,93.00,7659400,93.00
2014-03-12,92.82,93.62,92.65,93.60,6154900,93.60
2014-03-11,93.71,93.75,93.09,93.49,5837200,93.49
2014-03-10,93.17,93.49,92.79,93.45,4878200,93.45
2014-03-07,93.37,93.48,92.69,93.32,6792000,93.32
2014-03-06,93.19,93.65,92.82,92.89,7718300,92.89
2014-03-05,93.27,93.30,92.38,92.59,6842500,92.59
2014-03-04,92.47,93.46,92.25,93.34,8796300,93.34
2014-03-03,91.13,91.98,90.83,91.56,7506700,91.56
2014-02-28,91.42,92.64,91.06,92.12,9643700,92.12
2014-02-27,91.16,91.42,90.75,91.36,7040300,91.36
2014-02-26,91.11,91.54,90.77,91.11,6334100,91.11
2014-02-25,91.59,91.87,90.66,91.11,6383400,91.11
2014-02-24,91.45,92.06,91.10,91.11,8406700,91.11
2014-02-21,91.86,92.25,91.45,91.52,7381500,91.52
2014-02-20,91.69,92.73,91.31,92.38,8160100,91.72
2014-02-19,92.15,92.75,91.57,91.64,7693400,90.99
2014-02-18,92.77,92.85,92.09,92.17,6926500,91.51
2014-02-14,92.60,92.95,92.03,92.76,5485100,92.10
2014-02-13,92.00,92.62,91.71,92.56,5926000,91.90
2014-02-12,92.95,92.99,91.95,92.42,7696100,91.76
2014-02-11,91.09,92.97,90.95,92.97,11556300,92.31
2014-02-10,90.24,91.08,89.80,91.07,8080200,90.42
2014-02-07,88.92,90.04,88.61,90.04,9435100,89.40
2014-02-06,87.63,88.76,87.55,88.75,10037900,88.12
2014-02-05,86.49,87.67,86.48,87.28,10667300,86.66
2014-02-04,86.93,87.28,86.09,86.62,11436400,86.00
2014-02-03,88.75,88.78,86.61,86.78,13944600,86.16
2014-01-31,89.01,89.34,88.15,88.47,12193800,87.84
2014-01-30,89.62,89.78,89.01,89.50,6874900,88.86
2014-01-29,89.47,89.71,88.53,88.90,11160100,88.26
2014-01-28,90.58,90.60,89.79,90.10,8254400,89.46
2014-01-27,90.30,90.76,89.85,89.94,8685200,89.30
2014-01-24,92.12,92.61,90.61,90.61,10604200,89.96
2014-01-23,93.74,93.80,92.41,92.74,9322300,92.08
2014-01-22,93.99,94.55,93.54,94.32,8875500,93.65
2014-01-21,94.93,95.10,92.62,94.03,16368400,93.36
2014-01-17,94.72,95.17,94.38,95.06,13714400,94.38
2014-01-16,94.60,95.09,94.23,94.64,8401100,93.96
2014-01-15,94.65,95.27,94.51,94.80,7390700,94.12
2014-01-14,94.60,94.90,94.32,94.72,7567300,94.04
2014-01-13,94.37,94.99,94.06,94.50,9589200,93.82
2014-01-10,94.64,94.98,94.14,94.74,6697400,94.06
2014-01-09,94.94,95.38,94.09,94.73,7944700,94.05
2014-01-08,94.17,94.60,93.88,94.16,9096700,93.49
2014-01-07,93.04,94.62,92.99,94.29,11063300,93.62
2014-01-06,91.93,92.75,91.87,92.33,7443500,91.67
2014-01-03,91.29,92.22,91.26,91.85,5637600,91.19
2014-01-02,91.14,91.73,91.01,91.03,5919600,90.38
2013-12-31,92.17,92.22,91.15,91.59,6348200,90.94
2013-12-30,92.16,92.30,91.73,92.30,4370100,91.64
2013-12-27,92.77,92.96,92.18,92.35,3511300,91.69
2013-12-26,91.99,92.54,91.77,92.54,3459100,91.88
2013-12-24,92.18,92.39,91.85,92.06,3147300,91.40
2013-12-23,92.56,92.68,91.76,92.03,5312200,91.37
2013-12-20,91.95,92.75,91.95,92.09,11265000,91.43
2013-12-19,92.40,92.40,91.42,91.98,7341000,91.32
2013-12-18,90.95,92.66,89.77,92.64,9691100,91.98
2013-12-17,91.30,91.33,90.50,90.66,8794000,90.01
2013-12-16,91.42,92.32,91.16,91.37,6623000,90.72
2013-12-13,91.46,91.86,91.08,91.35,7909000,90.70
2013-12-12,92.84,92.86,91.07,91.16,12285700,90.51
2013-12-11,94.40,94.45,93.03,93.11,9424300,92.44
2013-12-10,94.58,94.79,93.96,94.14,7576600,93.47
2013-12-09,94.30,94.48,93.70,94.44,6974500,93.77
2013-12-06,93.60,94.48,93.42,94.44,7280400,93.77
2013-12-05,93.42,93.63,92.66,92.97,8666200,92.31
2013-12-04,93.76,94.25,93.13,93.63,6218500,92.96
2013-12-03,94.20,94.56,93.51,93.97,9061100,93.30
2013-12-02,94.41,94.66,93.97,94.28,5827400,93.61
2013-11-29,95.23,95.50,94.43,94.66,4106800,93.98
2013-11-27,95.34,95.37,94.61,94.98,4603800,94.30
2013-11-26,95.58,95.87,94.97,95.06,7267600,94.38
2013-11-25,95.49,95.99,95.08,95.63,6374600,94.95
2013-11-22,94.39,95.58,94.39,95.25,6462100,94.57
2013-11-21,95.46,95.75,95.05,95.20,6896200,93.86
2013-11-20,94.94,95.47,94.66,95.15,7076500,93.82
2013-11-19,94.27,94.92,94.00,94.86,6624200,93.53
2013-11-18,94.36,94.60,94.01,94.30,8492000,92.98
2013-11-15,93.63,94.40,93.55,94.39,7063000,93.07
2013-11-14,93.40,94.14,93.40,93.92,7045700,92.60
2013-11-13,93.36,93.45,92.32,93.34,8954300,92.03
2013-11-12,93.98,94.09,93.00,93.56,7639600,92.25
2013-11-11,93.97,94.64,93.94,94.29,4723100,92.97
2013-11-08,92.63,94.10,92.56,94.05,7229500,92.73
2013-11-07,93.19,93.35,92.69,92.69,6116900,91.39
2013-11-06,93.03,93.20,92.72,93.04,5301300,91.73
2013-11-05,92.54,92.95,92.28,92.81,5350600,91.51
2013-11-04,93.46,93.50,92.43,93.03,6862500,91.73
2013-11-01,92.38,93.58,92.38,93.37,6835900,92.06
2013-10-31,92.85,93.35,92.32,92.61,7773900,91.31
2013-10-30,93.27,93.45,92.65,92.79,6295400,91.49
2013-10-29,92.80,93.18,92.58,93.14,6096700,91.83
2013-10-28,91.96,92.80,91.92,92.39,6551000,91.09
2013-10-25,92.04,92.27,91.78,92.09,6076000,90.80
2013-10-24,92.65,92.99,92.14,92.35,5251000,91.05
2013-10-23,92.07,92.43,91.52,92.10,6449600,90.81
2013-10-22,91.53,92.56,91.50,92.36,9635500,91.06
2013-10-21,91.63,91.63,90.77,91.20,6940500,89.92
