Date,Open,High,Low,Close,Volume,Adj Close
2014-04-29,57.50,58.86,57.27,58.72,13661500,58.72
2014-04-28,57.61,57.85,56.48,56.68,16992200,56.68
2014-04-25,57.53,57.68,57.02,57.24,6227700,57.24
2014-04-24,57.32,57.82,56.85,57.53,6714800,57.53
2014-04-23,57.75,57.77,57.08,57.50,7736100,57.50
2014-04-22,57.09,58.32,57.02,57.77,13972200,57.77
2014-04-21,56.56,57.30,56.40,57.25,6231000,57.25
2014-04-17,56.45,57.00,56.27,56.47,11263700,56.47
2014-04-16,56.45,56.95,55.93,56.26,9635500,56.26
2014-04-15,55.79,56.31,55.11,56.05,11132500,56.05
2014-04-14,56.22,56.73,54.95,55.57,10787000,55.57
2014-04-11,55.55,56.60,55.30,55.92,13631700,55.92
2014-04-10,57.89,58.14,55.78,55.85,18018500,55.85
2014-04-09,55.22,57.15,55.20,57.10,16108500,57.10
2014-04-08,55.28,55.61,54.70,55.04,10766800,55.04
2014-04-07,55.37,56.16,55.03,55.19,11426300,55.19
2014-04-04,56.61,56.72,56.09,56.12,10412800,56.12
2014-04-03,56.53,56.75,55.95,56.21,8313100,56.21
2014-04-02,56.48,56.56,56.05,56.46,7060000,56.46
2014-04-01,56.65,56.84,56.01,56.37,7715400,56.37
2014-03-31,56.09,56.84,56.04,56.77,14181200,56.77
2014-03-28,56.21,56.96,55.77,55.98,8960300,55.98
2014-03-27,55.89,56.11,55.33,55.73,11123800,55.73
2014-03-26,55.43,56.46,55.39,56.02,13073600,56.02
2014-03-25,53.88,55.48,53.81,55.19,14115700,55.19
2014-03-24,54.86,54.86,53.57,53.78,15500800,53.78
2014-03-21,56.50,56.60,54.62,54.66,23424900,54.66
2014-03-20,55.83,55.88,55.31,55.59,8460800,55.59
2014-03-19,56.68,56.91,55.64,55.99,10048400,55.99
2014-03-18,56.31,56.56,56.16,56.36,7070900,56.36
2014-03-17,55.95,56.45,55.95,56.26,9509400,56.26
2014-03-14,55.53,56.02,55.27,55.70,12117800,55.70
2014-03-13,56.61,56.79,55.72,55.79,10120000,55.79
2014-03-12,56.39,56.93,56.26,56.81,9498300,56.37
2014-03-11,57.40,57.44,56.57,56.69,10885500,56.25
2014-03-10,57.44,57.62,57.00,57.32,7383200,56.88
2014-03-07,57.35,57.57,57.10,57.47,10634200,57.02
2014-03-06,57.06,57.65,57.01,57.26,10605700,56.82
2014-03-05,57.40,57.44,56.52,56.88,9042300,56.44
2014-03-04,57.04,57.39,56.91,57.06,10995900,56.62
2014-03-03,56.10,56.77,55.95,56.42,9821800,55.98
2014-02-28,56.73,57.46,56.65,56.99,11886600,56.55
2014-02-27,56.24,56.67,56.00,56.66,9055500,56.22
2014-02-26,56.00,56.45,55.92,56.27,10139500,55.83
2014-02-25,56.13,56.39,55.80,55.91,8514500,55.48
2014-02-24,55.87,56.92,55.87,56.18,11012500,55.74
2014-02-21,55.85,56.34,55.82,56.03,11666600,55.60
2014-02-20,55.11,56.00,55.03,55.81,10133100,55.38
2014-02-19,55.44,55.66,54.99,55.04,10297100,54.61
2014-02-18,55.22,55.93,55.13,55.69,11201100,55.26
2014-02-14,54.95,55.62,54.95,55.44,8681900,55.01
2014-02-13,54.45,55.21,54.41,55.10,10243400,54.67
2014-02-12,55.44,55.69,54.85,55.00,13629700,54.57
2014-02-11,54.71,55.75,54.44,55.70,15352600,55.27
2014-02-10,54.29,55.00,54.22,54.89,10609600,54.46
2014-02-07,53.65,54.82,53.44,54.77,14497100,54.35
