Date,Open,High,Low,Close,Volume,Adj Close
2014-05-20,92.48,92.98,92.32,92.67,1391800,92.67
2014-05-19,92.48,92.89,92.14,92.77,1292200,92.77
2014-05-16,92.46,92.62,91.62,92.58,2331000,92.58
2014-05-15,92.45,92.65,91.91,92.37,2257200,92.37
2014-05-14,93.02,93.04,92.44,92.65,1330600,92.65
2014-05-13,92.37,93.06,92.22,92.91,2246800,92.91
2014-05-12,92.12,92.93,92.03,92.04,2072600,92.04
2014-05-09,91.07,91.36,90.74,91.30,1640400,91.30
2014-05-08,90.98,91.53,90.91,91.24,1775400,91.24
2014-05-07,90.33,91.51,90.33,91.07,3279200,91.07
2014-05-06,90.32,90.63,89.81,89.88,2301000,89.88
2014-05-05,90.82,90.92,89.93,90.65,1911400,90.65
2014-05-02,90.99,91.68,90.84,91.00,2100100,91.00
2014-05-01,90.64,90.92,90.25,90.83,2753600,90.83
2014-04-30,90.70,90.77,90.03,90.58,2744500,90.58
2014-04-29,90.00,90.94,89.89,90.90,3649300,90.90
2014-04-28,88.85,90.28,88.79,89.64,4086900,89.64
2014-04-25,88.70,88.70,87.99,88.31,2256200,88.31
2014-04-24,88.30,88.99,88.30,88.59,2239600,88.59
2014-04-23,86.90,88.57,86.73,88.13,2911100,88.13
2014-04-22,86.75,87.66,86.01,86.89,3181900,86.89
2014-04-21,86.71,86.84,86.06,86.40,2330000,86.40
2014-04-17,87.15,87.39,86.40,86.68,1888600,86.68
2014-04-16,86.52,86.93,86.12,86.78,1826700,86.78
2014-04-15,84.90,85.96,84.90,85.89,2164600,85.89
2014-04-14,85.80,85.95,84.84,85.50,3153000,85.50
2014-04-11,84.91,85.62,84.86,85.30,2067000,85.30
2014-04-10,85.70,86.32,84.92,84.99,2127400,84.99
2014-04-09,84.83,85.83,84.67,85.82,2098700,85.82
2014-04-08,84.80,84.91,84.45,84.73,1750800,84.73
2014-04-07,85.19,85.55,84.93,85.00,2352500,85.00
2014-04-04,85.41,86.06,85.14,85.20,2333100,85.20
2014-04-03,84.83,85.11,84.45,84.98,1904600,84.98
2014-04-02,84.37,85.27,84.22,84.65,1997500,84.65
2014-04-01,85.17,85.24,84.16,84.39,2172800,84.39
2014-03-31,84.64,85.13,84.52,85.10,2106600,85.10
2014-03-28,83.86,84.17,83.44,83.99,2423300,83.99
2014-03-27,83.27,83.83,83.22,83.49,3563800,83.49
2014-03-26,84.43,84.49,83.42,83.43,2113300,83.43
2014-03-25,84.32,84.67,83.96,84.03,2021900,84.03
2014-03-24,83.87,84.26,83.64,83.86,2795100,83.86
2014-03-21,83.80,84.06,83.32,83.78,6498300,83.78
2014-03-20,82.90,83.51,82.51,83.23,2753400,83.23
2014-03-19,83.99,84.24,82.81,83.20,2526500,83.20
2014-03-18,83.69,84.24,83.36,83.95,2141100,83.95
2014-03-17,83.21,83.78,82.80,83.54,2758600,83.54
2014-03-14,82.59,82.84,82.32,82.66,2074400,82.66
2014-03-13,83.68,83.86,82.51,82.59,2121000,82.59
2014-03-12,83.15,83.73,83.00,83.43,1758500,83.43
2014-03-11,84.14,84.18,83.34,83.58,1859000,83.58
2014-03-10,83.70,83.89,83.34,83.78,1954400,83.78
