Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,210.34,211.54,207.95,207.95,3341000,207.56
2014-04-16,207.00,209.56,205.48,209.36,3958200,208.97
2014-04-15,203.84,204.94,199.17,204.05,4803500,203.67
2014-04-14,199.80,201.95,198.01,201.01,5231400,200.63
2014-04-11,199.23,200.00,194.84,196.63,7484900,196.26
2014-04-10,208.26,209.07,200.15,201.55,5100900,201.17
2014-04-09,204.58,207.78,202.62,207.54,4785700,207.15
2014-04-08,202.82,205.92,202.00,202.59,5436400,202.21
2014-04-07,206.78,207.44,201.02,203.41,10031000,203.03
2014-04-04,215.57,215.71,205.75,207.70,6112300,207.31
2014-04-03,215.79,216.28,213.38,215.01,3552600,214.60
2014-04-02,214.78,216.50,213.37,214.66,2336200,214.26
2014-04-01,217.08,218.16,214.55,214.70,2272600,214.30
2014-03-31,212.79,215.86,211.67,215.86,2909800,215.45
2014-03-28,214.48,216.34,210.52,212.09,3737500,211.69
2014-03-27,214.89,216.17,213.05,215.77,2622400,215.36
2014-03-26,219.95,220.19,215.68,215.68,2664300,215.27
2014-03-25,222.19,223.04,218.40,218.40,2918800,217.99
2014-03-24,225.39,226.23,219.10,220.75,4557100,220.33
2014-03-21,222.97,232.67,219.70,223.37,9523100,222.95
2014-03-20,224.12,224.12,220.91,221.82,2972500,221.40
2014-03-19,226.61,227.09,222.00,223.82,1972200,223.40
2014-03-18,224.60,226.77,223.25,226.41,2076200,225.98
2014-03-17,221.99,223.88,221.38,223.78,2200000,223.36
2014-03-14,220.62,221.92,218.56,220.77,3423000,220.35
2014-03-13,226.66,227.49,220.43,220.78,2999100,220.36
2014-03-12,226.12,227.68,225.29,226.10,2348700,225.67
2014-03-11,225.95,228.39,224.63,227.18,2765700,226.75
2014-03-10,225.51,226.37,224.72,225.50,1837600,225.07
2014-03-07,224.95,225.73,223.54,225.56,2242800,225.13
2014-03-06,223.76,226.07,223.32,223.86,2280100,223.44
2014-03-05,225.62,225.80,222.30,222.81,2832100,222.39
2014-03-04,225.15,225.97,222.58,225.50,3721200,225.07
2014-03-03,223.24,224.04,219.59,221.44,4105700,221.02
2014-02-28,226.47,227.99,220.70,225.94,3501000,225.51
2014-02-27,226.19,227.80,225.60,226.28,2024400,225.85
2014-02-26,227.23,227.90,225.26,226.11,2603400,225.68
2014-02-25,226.19,228.43,225.49,227.11,2834900,226.68
2014-02-24,223.73,227.43,223.47,226.19,2704300,225.76
2014-02-21,223.73,224.67,222.98,223.36,2284000,222.94
2014-02-20,224.16,224.97,222.59,223.46,2202500,223.04
2014-02-19,225.87,227.79,223.68,223.88,2330500,223.46
2014-02-18,226.48,228.48,225.62,226.06,3356800,225.63
2014-02-14,224.27,226.24,223.51,226.00,3170500,225.57
2014-02-13,222.85,224.75,222.46,224.05,3289700,223.63
2014-02-12,223.44,224.90,222.89,224.17,3662700,223.75
2014-02-11,221.13,222.89,220.05,222.33,2452400,221.51
2014-02-10,221.89,222.13,219.99,220.55,2579200,219.74
2014-02-07,220.19,222.00,218.46,221.78,3134300,220.96
2014-02-06,216.08,219.01,215.78,219.01,3180400,218.20
2014-02-05,213.24,216.74,213.12,215.61,3380200,214.82
2014-02-04,214.16,215.88,211.38,214.54,3728400,213.75
2014-02-03,216.51,217.84,212.07,213.47,5415600,212.68
2014-01-31,216.13,218.90,215.11,215.43,6114300,214.64
2014-01-30,225.75,226.00,216.31,220.88,5010100,220.07
2014-01-29,219.10,220.74,216.50,217.12,4200000,216.32
2014-01-28,217.62,222.36,217.40,220.96,4463100,220.15
2014-01-27,222.07,222.07,215.12,216.22,4867700,215.42
