Date,Open,High,Low,Close,Volume,Adj Close
2014-05-20,76.36,76.37,75.52,75.69,7436700,75.69
2014-05-19,77.11,77.13,76.50,76.61,6106600,76.61
2014-05-16,77.00,77.38,76.65,77.01,7243800,77.01
2014-05-15,76.28,77.44,76.25,76.83,13008000,76.83
2014-05-14,79.05,79.05,78.07,78.74,5592300,78.74
2014-05-13,79.17,79.37,78.99,79.14,4316100,79.14
2014-05-12,78.95,79.23,78.65,79.15,5999800,79.15
2014-05-09,78.52,79.28,78.52,79.20,4871800,79.20
2014-05-08,78.00,78.83,78.00,78.69,4820600,78.69
2014-05-07,77.85,78.10,77.53,77.96,6086200,77.96
2014-05-06,78.33,78.39,77.97,78.01,5638900,77.53
2014-05-05,78.86,78.95,78.51,78.62,4591000,78.14
2014-05-02,79.60,79.76,79.01,79.12,5620000,78.63
2014-05-01,79.73,79.73,79.16,79.70,5098000,79.21
2014-04-30,79.59,79.93,79.51,79.71,6111700,79.22
2014-04-29,79.84,79.87,79.57,79.67,4695700,79.18
2014-04-28,78.86,79.99,78.83,79.76,9598700,79.27
2014-04-25,78.31,78.78,78.02,78.62,5392600,78.14
2014-04-24,78.17,78.47,77.70,78.31,4347500,77.83
2014-04-23,77.82,78.28,77.57,78.04,5806200,77.56
2014-04-22,77.52,77.83,77.39,77.56,6465500,77.08
2014-04-21,77.41,77.73,77.18,77.60,4595100,77.12
2014-04-17,77.08,77.75,77.08,77.66,6964700,77.18
2014-04-16,77.31,77.47,77.03,77.22,5036800,76.74
2014-04-15,77.03,77.31,76.44,76.88,6928600,76.41
2014-04-14,76.94,77.55,76.79,77.38,5375900,76.90
2014-04-11,76.78,77.23,76.29,76.50,7979000,76.03
2014-04-10,77.95,78.14,76.65,76.89,7599600,76.42
2014-04-09,78.20,78.22,77.28,77.97,6877800,77.49
2014-04-08,77.09,78.31,76.80,78.18,7498700,77.70
2014-04-07,77.23,77.72,77.09,77.31,7675700,76.83
2014-04-04,77.58,77.90,77.25,77.31,6760200,76.83
2014-04-03,77.20,77.55,77.00,77.46,6040500,76.98
2014-04-02,76.58,77.19,76.34,77.18,6078100,76.71
2014-04-01,76.76,77.25,76.54,76.77,5770000,76.30
2014-03-31,76.35,76.78,76.02,76.43,4695600,75.96
2014-03-28,76.26,76.60,75.77,76.01,5871100,75.54
2014-03-27,76.38,76.82,76.04,76.14,5596600,75.67
2014-03-26,77.08,77.53,76.23,76.23,7727800,75.76
2014-03-25,76.88,77.14,76.16,76.87,7382200,76.40
2014-03-24,76.21,76.80,76.11,76.76,7279500,76.29
2014-03-21,75.89,77.02,75.45,76.10,17160200,75.63
2014-03-20,74.02,75.68,73.86,75.38,8637500,74.92
2014-03-19,74.56,75.11,74.02,74.38,5761100,73.92
2014-03-18,74.66,74.99,74.45,74.77,3943800,74.31
2014-03-17,74.30,74.85,74.01,74.68,5780400,74.22
2014-03-14,74.67,75.07,74.27,74.28,6619000,73.82
2014-03-13,75.71,76.18,74.91,74.93,5824500,74.47
2014-03-12,74.85,75.75,74.82,75.53,8627600,75.07
2014-03-11,74.72,74.97,74.20,74.92,9005600,74.46
2014-03-10,74.52,74.60,74.05,74.43,4827000,73.97
2014-03-07,74.96,74.96,74.36,74.58,5054600,74.12
2014-03-06,74.86,75.11,74.51,74.88,5106600,73.94
2014-03-05,75.32,75.33,74.58,74.80,5524800,73.86
2014-03-04,74.77,75.49,74.66,75.13,7543800,74.19
2014-03-03,74.49,74.67,73.83,74.12,5347600,73.19
2014-02-28,74.48,75.19,74.20,74.70,7444600,73.76
2014-02-27,74.78,74.78,74.09,74.56,5448200,73.63
2014-02-26,73.94,75.10,73.79,74.78,9022200,73.84
2014-02-25,73.18,73.74,73.09,73.35,9482700,72.43
2014-02-24,73.24,73.82,73.14,73.35,7321500,72.43
