Date,Open,High,Low,Close,Volume,Adj Close
2013-10-18,8.64,8.68,8.53,8.63,21264300,8.56
2013-10-17,8.48,8.60,8.47,8.59,20515400,8.52
2013-10-16,8.37,8.54,8.37,8.53,25026900,8.46
2013-10-15,8.47,8.52,8.35,8.38,25409800,8.31
2013-10-14,8.27,8.49,8.27,8.45,19441500,8.38
2013-10-11,8.34,8.42,8.24,8.32,27434000,8.25
2013-10-10,8.18,8.42,8.16,8.35,40852800,8.28
2013-10-09,8.17,8.30,8.09,8.10,66321400,8.04
2013-10-08,8.01,8.01,7.88,7.94,36144300,7.88
2013-10-07,7.90,8.00,7.84,7.97,36772500,7.91
2013-10-04,7.90,8.06,7.88,7.96,19953300,7.90
2013-10-03,7.99,8.01,7.82,7.86,33826400,7.80
2013-10-02,7.93,8.07,7.89,8.02,38182000,7.96
2013-10-01,8.10,8.19,8.04,8.17,16085900,8.11
2013-09-30,8.10,8.20,8.07,8.12,19967500,8.06
2013-09-27,8.25,8.28,8.18,8.20,14112800,8.14
2013-09-26,8.33,8.36,8.24,8.27,15441500,8.20
2013-09-25,8.33,8.40,8.30,8.33,11181100,8.26
2013-09-24,8.27,8.40,8.26,8.30,15362900,8.23
2013-09-23,8.25,8.37,8.25,8.28,13094400,8.21
2013-09-20,8.44,8.44,8.26,8.29,47155400,8.22
2013-09-19,8.61,8.68,8.40,8.44,33078100,8.37
2013-09-18,8.24,8.61,8.22,8.55,38949500,8.48
2013-09-17,8.10,8.30,8.10,8.26,22308200,8.19
2013-09-16,8.17,8.18,8.09,8.10,15468200,8.04
2013-09-13,8.15,8.18,8.06,8.08,14983400,8.02
2013-09-12,8.12,8.20,8.09,8.16,15754400,8.10
2013-09-11,8.04,8.19,8.01,8.19,26732900,8.13
2013-09-10,8.04,8.10,7.96,8.05,28526100,7.99
2013-09-09,7.96,8.15,7.94,8.08,37544800,8.02
2013-09-06,7.90,7.95,7.85,7.92,17400800,7.86
2013-09-05,7.83,7.91,7.81,7.87,22406700,7.81
2013-09-04,7.79,7.84,7.73,7.84,28502800,7.78
2013-09-03,7.79,7.84,7.70,7.72,28807500,7.66
2013-08-30,7.82,7.84,7.68,7.70,43742000,7.64
2013-08-29,7.92,7.94,7.79,7.81,25760500,7.75
2013-08-28,7.91,8.01,7.90,7.93,13504900,7.87
2013-08-27,7.99,8.03,7.90,7.92,16725300,7.86
2013-08-26,8.07,8.12,8.04,8.06,12851800,8.00
2013-08-23,8.04,8.12,8.01,8.05,11141900,7.99
2013-08-22,7.92,8.06,7.91,8.03,19335400,7.97
2013-08-21,7.98,8.00,7.83,7.84,24098100,7.78
2013-08-20,7.95,8.02,7.92,8.00,15372000,7.94
2013-08-19,8.07,8.09,7.93,7.94,18594600,7.88
2013-08-16,8.08,8.12,7.95,8.12,29891700,8.06
2013-08-15,8.09,8.18,8.01,8.16,16348500,8.10
2013-08-14,8.16,8.24,8.07,8.16,12842400,8.10
2013-08-13,8.28,8.29,8.12,8.15,17232600,8.09
2013-08-12,8.22,8.28,8.18,8.26,21705000,8.19
2013-08-09,7.92,8.22,7.92,8.22,38472400,8.15
2013-08-08,7.86,7.92,7.76,7.91,18757400,7.85
2013-08-07,7.88,8.00,7.78,7.79,20546000,7.73
2013-08-06,7.99,8.03,7.91,7.91,15887100,7.82
2013-08-05,7.94,8.01,7.91,8.00,19279700,7.91
