Date,Open,High,Low,Close,Volume,Adj Close
2013-10-18,80.11,80.68,79.31,80.52,7598200,80.11
2013-10-17,77.94,80.40,77.80,80.23,10366600,79.82
2013-10-16,75.64,76.75,75.45,76.32,6468200,75.93
2013-10-15,75.63,76.36,75.23,75.25,4113700,74.87
2013-10-14,75.33,76.11,75.10,76.07,3017200,75.68
2013-10-11,74.67,75.44,74.41,75.40,3913900,75.02
2013-10-10,73.19,74.67,73.01,74.66,3769900,74.28
2013-10-09,72.38,72.71,72.08,72.22,4701500,71.85
2013-10-08,73.03,73.10,72.13,72.22,3945800,71.85
2013-10-07,73.50,73.53,72.90,72.94,3320300,72.57
2013-10-04,73.88,74.33,73.61,74.31,2883500,73.93
2013-10-03,74.11,74.29,73.30,74.02,4364500,73.64
2013-10-02,75.13,75.29,74.17,74.58,4363400,74.20
2013-10-01,75.64,76.01,75.45,75.93,2969600,75.31
2013-09-30,74.97,75.85,74.64,75.52,3330500,74.91
2013-09-27,76.06,76.09,75.43,75.89,2522500,75.28
2013-09-26,76.00,77.00,75.78,76.32,2927000,75.70
2013-09-25,76.13,76.56,75.62,75.99,3090300,75.37
2013-09-24,76.39,76.94,75.96,76.07,3020200,75.45
2013-09-23,77.29,77.66,76.13,76.44,4078900,75.82
2013-09-20,77.62,77.89,77.15,77.32,10105500,76.69
2013-09-19,77.81,77.90,77.15,77.57,3997600,76.94
2013-09-18,76.99,77.81,76.54,77.64,4136000,77.01
2013-09-17,75.60,77.00,75.60,76.92,4047200,76.30
2013-09-16,76.34,76.43,75.44,75.60,4536200,74.99
2013-09-13,75.58,75.75,75.07,75.30,2664400,74.69
2013-09-12,75.29,75.61,74.97,75.29,2502200,74.68
2013-09-11,74.70,75.22,74.40,75.18,3297900,74.57
2013-09-10,74.22,74.66,74.00,74.60,3269100,74.00
2013-09-09,73.59,73.81,73.15,73.66,3189500,73.06
2013-09-06,73.92,74.02,72.40,73.35,3369200,72.76
2013-09-05,73.16,74.23,72.89,73.80,3600700,73.20
2013-09-04,72.52,73.50,72.23,73.14,2913300,72.55
2013-09-03,72.59,73.41,72.14,72.43,3994100,71.84
2013-08-30,72.15,72.24,71.47,71.91,3779500,71.33
2013-08-29,71.81,72.62,71.58,72.22,2957100,71.63
2013-08-28,71.70,72.34,71.54,72.01,2963200,71.43
2013-08-27,72.80,72.93,71.77,71.91,3712600,71.33
2013-08-26,73.76,74.47,73.43,73.61,2372400,73.01
2013-08-23,73.87,74.00,73.13,73.65,2518500,73.05
2013-08-22,73.66,74.00,73.40,73.86,2354900,73.26
2013-08-21,74.01,74.33,73.25,73.44,2983100,72.84
2013-08-20,74.41,74.67,73.80,74.27,2900900,73.67
2013-08-19,75.12,75.21,74.30,74.34,3478900,73.74
2013-08-16,74.86,75.35,74.65,75.17,4248200,74.56
2013-08-15,75.27,75.43,74.62,74.88,3834400,74.27
2013-08-14,76.04,76.43,75.75,75.88,2945400,75.27
2013-08-13,75.49,76.44,74.89,76.23,2964900,75.61
2013-08-12,75.11,75.61,74.89,75.49,2292600,74.88
2013-08-09,76.18,76.36,75.01,75.50,3963600,74.89
2013-08-08,75.79,77.27,75.48,76.19,3293600,75.57
2013-08-07,75.46,75.71,74.85,75.14,3083900,74.53
2013-08-06,75.87,76.10,75.47,75.81,2566000,75.20
