Date,Open,High,Low,Close,Volume,Adj Close
2013-10-18,23.53,23.63,23.23,23.48,14360400,23.25
2013-10-17,23.13,23.43,22.97,23.39,9806800,23.16
2013-10-16,22.93,23.35,22.81,23.28,17397300,23.05
2013-10-15,22.86,22.96,22.61,22.79,13452500,22.56
2013-10-14,22.62,22.99,22.40,22.90,11011000,22.67
2013-10-11,22.39,23.00,22.25,22.80,18149900,22.57
2013-10-10,23.02,23.51,22.06,22.32,33998100,22.10
2013-10-09,20.77,22.76,20.35,22.60,55970400,22.37
2013-10-08,20.89,20.94,20.25,20.75,17752400,20.54
2013-10-07,21.00,21.19,20.83,20.93,13986600,20.72
2013-10-04,20.94,21.31,20.88,21.26,10113700,21.05
2013-10-03,21.39,21.42,20.80,20.92,12740700,20.71
2013-10-02,21.30,21.62,21.20,21.40,16227800,21.19
2013-10-01,20.95,21.32,20.95,21.31,10257500,21.10
2013-09-30,20.94,21.08,20.82,20.99,13650500,20.78
2013-09-27,21.22,21.45,21.08,21.17,10044100,20.96
2013-09-26,21.27,21.59,21.24,21.30,10444500,21.09
2013-09-25,21.27,21.42,21.02,21.40,17279700,21.19
2013-09-24,21.24,21.47,21.02,21.24,13049300,21.03
2013-09-23,21.21,21.38,20.96,21.20,14024300,20.99
2013-09-20,21.42,21.59,21.22,21.22,28151400,21.01
2013-09-19,21.91,21.97,21.27,21.31,17026400,21.10
2013-09-18,21.52,21.94,21.52,21.80,13116200,21.58
2013-09-17,21.83,22.00,21.44,21.67,15380500,21.45
2013-09-16,22.29,22.34,21.69,21.74,14837300,21.52
2013-09-13,21.96,22.13,21.70,22.07,12872600,21.85
2013-09-12,22.21,22.30,21.81,21.96,19889200,21.74
2013-09-11,22.31,22.37,22.18,22.27,11297800,22.05
2013-09-10,22.07,22.42,21.91,22.27,17345600,22.05
2013-09-09,22.33,22.45,22.24,22.36,10543700,22.14
2013-09-06,22.29,22.59,22.05,22.42,14231000,22.05
2013-09-05,22.27,22.27,22.01,22.12,15236700,21.76
2013-09-04,22.36,22.62,22.27,22.27,13818700,21.90
2013-09-03,22.49,22.70,22.30,22.37,13731300,22.00
2013-08-30,22.43,22.47,22.20,22.34,12125500,21.97
2013-08-29,22.53,22.69,22.37,22.52,11186600,22.15
2013-08-28,22.03,22.65,22.02,22.61,18371400,22.24
2013-08-27,22.06,22.38,21.92,21.99,16716300,21.63
2013-08-26,22.36,22.64,22.25,22.27,17461600,21.90
2013-08-23,22.22,22.45,22.07,22.40,22067000,22.03
2013-08-22,23.20,23.24,21.81,22.22,67670500,21.86
2013-08-21,25.93,26.04,25.23,25.38,25730100,24.96
2013-08-20,25.87,26.02,25.57,25.84,10686500,25.42
2013-08-19,26.30,26.53,25.80,25.88,11810500,25.46
2013-08-16,25.95,26.57,25.92,26.42,15088600,25.99
2013-08-15,26.76,26.84,25.83,25.95,15054800,25.52
2013-08-14,27.27,27.32,26.95,27.18,10399900,26.73
2013-08-13,27.02,27.58,26.97,27.30,17994700,26.85
2013-08-12,26.67,26.84,26.51,26.74,8746300,26.30
2013-08-09,26.73,27.10,26.50,26.77,11150100,26.33
2013-08-08,26.89,26.93,26.46,26.87,9960000,26.43
2013-08-07,26.36,26.71,26.23,26.69,8030300,26.25
2013-08-06,27.09,27.12,26.41,26.44,10890500,26.01
2013-08-05,26.75,27.15,26.75,27.03,8630900,26.59
2013-08-02,26.27,27.78,26.24,27.00,30178500,26.56
2013-08-01,25.79,26.36,25.70,26.23,9522100,25.80
2013-07-31,25.80,26.18,25.57,25.68,18035900,25.26
2013-07-30,25.77,26.05,25.67,25.78,13112000,25.36
2013-07-29,25.96,26.19,25.61,25.67,9059300,25.25
2013-07-26,26.01,26.05,25.77,25.99,7457200,25.56
2013-07-25,26.04,26.28,25.79,26.24,10950300,25.81
2013-07-24,25.83,26.14,25.78,26.11,11263800,25.68
2013-07-23,25.62,26.04,25.62,25.73,11201400,25.31
2013-07-22,25.25,25.69,25.15,25.51,14231500,25.09
2013-07-19,26.03,26.11,25.06,25.14,24885800,24.73
2013-07-18,26.24,26.43,25.93,26.33,10687100,25.90
2013-07-17,26.28,26.49,26.04,26.31,16597500,25.88
2013-07-16,26.41,26.52,26.19,26.45,10876500,26.02
2013-07-15,26.33,26.44,26.11,26.38,8270600,25.95
2013-07-12,26.39,26.50,26.10,26.19,11333800,25.76
2013-07-11,26.23,26.54,25.99,26.38,20139400,25.95
2013-07-10,26.08,26.71,25.70,25.93,33179700,25.50
2013-07-09,25.55,25.62,25.28,25.47,9828700,25.05
2013-07-08,25.71,25.87,25.11,25.17,11145500,24.76
