Date,Open,High,Low,Close,Volume,Adj Close
2013-10-18,54.26,54.58,53.80,54.30,24796600,53.61
2013-10-17,53.79,54.29,53.61,54.21,17791000,53.52
2013-10-16,52.61,54.05,52.58,54.00,24864000,53.31
2013-10-15,52.91,53.04,52.18,52.31,17566500,51.64
2013-10-14,51.94,52.84,51.76,52.71,18881600,52.04
2013-10-11,52.96,53.35,52.16,52.51,32498800,51.84
2013-10-10,51.84,52.56,51.38,52.52,24328700,51.85
2013-10-09,51.17,51.34,50.25,50.75,24721200,50.10
2013-10-08,51.83,51.96,50.84,50.87,19536000,50.22
2013-10-07,52.29,52.36,51.83,51.83,16159300,51.17
2013-10-04,52.07,52.68,52.01,52.67,17407200,52.00
2013-10-03,52.00,52.20,51.50,51.94,18614500,51.28
2013-10-02,51.32,52.45,51.29,52.09,23841200,51.43
2013-10-01,51.64,52.09,51.45,51.96,19188000,50.92
2013-09-30,51.73,52.09,51.44,51.69,21350600,50.66
2013-09-27,51.50,52.40,51.39,52.24,23026000,51.20
2013-09-26,51.93,52.56,51.54,51.89,22298700,50.86
2013-09-25,50.22,51.90,50.06,51.70,39175500,50.67
2013-09-24,51.01,51.27,50.30,50.32,34906900,49.32
2013-09-23,52.08,52.38,51.39,51.46,28189500,50.43
2013-09-20,52.95,53.47,52.80,52.80,30792200,51.75
2013-09-19,53.63,53.75,52.53,52.75,22452200,51.70
2013-09-18,52.69,53.87,52.56,53.41,20844500,52.34
2013-09-17,53.19,53.32,52.88,53.09,13207000,52.03
2013-09-16,53.45,53.49,52.98,53.14,17055300,52.08
2013-09-13,52.29,52.80,52.23,52.59,11942900,51.54
2013-09-12,53.43,53.71,52.08,52.24,21976700,51.20
2013-09-11,53.37,53.76,53.06,53.26,16028600,52.20
2013-09-10,53.83,53.93,53.30,53.67,20233200,52.60
2013-09-09,52.78,53.19,52.52,52.86,19936400,51.81
2013-09-06,52.41,52.71,51.28,52.56,22339900,51.51
2013-09-05,52.03,52.52,51.91,52.11,13913200,51.07
2013-09-04,51.16,52.10,50.93,51.87,19923800,50.84
2013-09-03,51.25,51.72,50.83,51.13,15277200,50.11
2013-08-30,50.82,50.83,50.29,50.53,15863100,49.52
2013-08-29,50.59,51.18,50.45,50.70,13576000,49.69
2013-08-28,50.33,51.05,50.13,50.58,18748100,49.57
2013-08-27,51.02,51.55,50.55,50.60,23596800,49.59
2013-08-26,52.16,52.54,51.79,51.80,16548400,50.77
2013-08-23,52.27,52.42,51.90,52.32,11126800,51.28
