Date,Open,High,Low,Close,Volume,Adj Close
2013-10-18,122.87,123.45,122.40,122.84,2590500,120.70
2013-10-17,120.74,122.87,120.71,122.62,2791700,120.49
2013-10-16,120.86,120.94,120.14,120.94,2646400,118.83
2013-10-15,121.28,121.38,119.79,119.82,2720500,117.73
2013-10-14,120.26,121.70,120.00,121.40,1866800,119.29
2013-10-11,119.16,120.77,118.39,120.72,2492700,118.62
2013-10-10,118.60,119.34,118.32,119.34,2688800,117.26
2013-10-09,117.27,117.96,116.65,117.57,2499200,115.52
2013-10-08,118.72,119.22,117.10,117.16,2869000,115.12
2013-10-07,118.56,119.27,118.28,118.69,1931200,116.62
2013-10-04,118.37,119.71,118.13,119.40,1983700,117.32
2013-10-03,118.71,119.11,117.89,118.55,2525800,116.49
2013-10-02,119.13,119.59,118.44,119.20,2056500,117.13
2013-10-01,119.69,119.82,118.80,119.62,1854800,117.54
2013-09-30,119.39,119.96,118.67,119.41,2104700,117.33
2013-09-27,119.97,120.30,119.26,120.22,2028100,118.13
2013-09-26,120.60,121.00,119.92,120.66,2240900,118.56
2013-09-25,120.89,121.21,120.17,120.20,2173400,118.11
2013-09-24,121.24,121.87,120.69,120.80,3585100,118.70
2013-09-23,120.43,121.47,120.37,121.11,3468500,119.00
2013-09-20,121.50,121.93,120.01,120.01,6999000,117.92
2013-09-19,121.15,122.27,121.15,121.57,2912400,119.45
2013-09-18,120.25,121.51,119.87,121.29,3307700,119.18
2013-09-17,119.07,120.19,118.65,119.93,2436000,117.84
2013-09-16,119.79,120.00,119.06,119.23,2756300,117.15
2013-09-13,118.49,118.85,118.32,118.60,1973300,116.54
2013-09-12,118.80,118.91,118.00,118.20,2399700,116.14
2013-09-11,117.63,118.71,117.59,118.71,1889000,116.64
2013-09-10,117.31,117.87,117.07,117.59,2572800,115.54
2013-09-09,115.63,117.14,115.51,116.74,1976800,114.71
2013-09-06,115.09,115.82,113.89,115.04,1965600,113.04
2013-09-05,114.35,115.12,114.03,114.87,1947900,112.87
2013-09-04,113.08,114.86,113.08,114.55,2312200,112.56
2013-09-03,114.57,114.92,112.85,113.22,2168100,111.25
2013-08-30,113.61,113.74,112.85,113.58,2205600,111.60
2013-08-29,112.87,113.83,112.58,113.32,1457200,111.35
2013-08-28,112.51,113.42,112.36,113.00,1545800,111.03
2013-08-27,113.41,113.82,112.67,112.73,1907500,110.77
2013-08-26,114.38,115.17,114.04,114.33,1815700,112.34
2013-08-23,114.76,115.00,113.59,114.40,1953300,112.41
2013-08-22,113.61,114.89,113.34,114.67,2002000,112.67
2013-08-21,114.79,114.84,113.34,113.42,2293700,111.45
2013-08-20,115.52,115.89,115.19,115.42,2153600,112.79
2013-08-19,115.83,115.96,115.47,115.61,1829300,112.97
