Date,Open,High,Low,Close,Volume,Adj Close
2013-10-18,79.39,79.57,78.78,79.41,7958500,78.19
2013-10-17,78.19,79.47,77.98,79.42,8671300,78.20
2013-10-16,77.35,78.49,77.26,78.34,6562600,77.14
2013-10-15,78.38,78.61,77.44,77.60,11192500,75.81
2013-10-14,78.01,78.80,77.93,78.74,6326100,76.93
2013-10-11,78.00,78.49,77.81,78.48,6082200,76.67
2013-10-10,77.41,77.92,77.15,77.89,10121900,76.10
2013-10-09,76.58,77.16,76.10,76.95,8470700,75.18
2013-10-08,76.39,77.00,76.05,76.33,9656600,74.57
2013-10-07,75.66,76.10,75.48,75.65,6373300,73.91
2013-10-04,75.98,76.12,75.51,76.02,4984700,74.27
2013-10-03,75.89,76.14,75.20,75.84,9251600,74.09
2013-10-02,75.91,76.14,75.42,75.93,8522900,74.18
2013-10-01,75.52,76.50,75.44,76.16,8076100,74.41
2013-09-30,76.80,77.16,75.35,75.59,15028300,73.85
2013-09-27,77.75,77.75,76.77,77.21,6551300,75.43
2013-09-26,77.91,78.14,77.62,78.05,4632600,76.25
2013-09-25,78.84,79.00,77.71,77.72,7589300,75.93
2013-09-24,78.97,79.48,78.59,78.62,7692100,76.81
2013-09-23,79.20,79.58,78.67,79.28,6304900,77.46
2013-09-20,80.09,80.18,79.39,79.39,11146100,77.56
2013-09-19,80.50,80.53,79.78,80.12,8157300,78.28
2013-09-18,79.06,80.48,78.53,80.30,10372100,78.45
2013-09-17,79.96,80.25,79.64,79.83,5457700,77.99
2013-09-16,79.72,80.21,79.71,80.16,7512800,78.32
2013-09-13,78.44,79.18,78.41,79.05,4894100,77.23
2013-09-12,78.40,78.80,78.17,78.26,6944900,76.46
2013-09-11,77.26,78.27,77.25,78.27,7049800,76.47
2013-09-10,78.50,78.64,77.78,77.95,6650200,76.16
2013-09-09,77.37,78.20,77.37,78.16,6089300,76.36
2013-09-06,77.12,77.61,76.40,77.15,6977400,75.37
2013-09-05,77.58,77.63,76.83,77.14,7163200,75.36
2013-09-04,77.52,77.75,77.12,77.49,6031300,75.71
2013-09-03,78.27,78.42,77.44,77.75,6743800,75.96
2013-08-30,77.53,78.07,73.61,77.89,9039100,76.10
2013-08-29,76.76,77.84,76.42,77.31,5961000,75.53
2013-08-28,77.86,77.86,76.85,76.85,9008500,75.08
2013-08-27,77.87,78.36,77.33,77.97,7052200,76.18
2013-08-26,79.92,79.98,78.53,78.54,6385400,76.73
2013-08-23,79.87,80.07,79.59,80.01,5219600,78.17
2013-08-22,79.30,80.05,78.87,79.77,6274400,77.93
2013-08-21,79.50,80.12,79.05,79.38,7390900,77.55
2013-08-20,79.72,80.10,79.28,79.53,5172500,77.70
2013-08-19,79.64,80.09,79.42,79.59,5959400,77.76
2013-08-16,80.27,80.48,79.06,79.90,9451600,78.06
2013-08-15,80.96,81.08,80.17,80.48,7415300,78.63
2013-08-14,81.67,81.78,81.19,81.25,5167500,79.38
2013-08-13,81.78,81.99,81.33,81.66,4936400,79.78
2013-08-12,81.23,81.73,81.04,81.62,4922200,79.74
2013-08-09,81.92,82.06,81.19,81.64,6127200,79.76
2013-08-08,82.11,82.40,81.51,82.17,6207900,80.28
2013-08-07,81.41,82.21,81.38,81.96,5828500,80.07
2013-08-06,81.30,81.97,81.30,81.74,6212500,79.86
2013-08-05,81.05,81.65,80.96,81.40,4662800,79.53
2013-08-02,81.42,81.50,80.56,81.29,6626300,79.42
2013-08-01,81.62,82.23,81.21,81.64,10724800,79.76
2013-07-31,80.44,81.41,80.16,80.30,11857000,78.45
2013-07-30,80.49,80.90,80.16,80.44,6434100,78.59
2013-07-29,80.10,80.45,80.05,80.09,4389400,78.25
2013-07-26,80.02,80.42,79.39,80.39,6543500,78.54
2013-07-25,80.01,80.57,79.84,80.41,6239900,78.56
2013-07-24,80.95,81.00,80.13,80.27,5606600,78.42
2013-07-23,81.22,81.40,80.78,80.95,4311700,79.09
2013-07-22,81.23,81.45,80.90,81.22,4813600,79.35
2013-07-19,80.36,81.41,80.05,81.37,7862600,79.50
2013-07-18,80.03,80.75,80.03,80.30,5526000,78.45
2013-07-17,80.49,80.85,80.01,80.09,7644300,78.25
2013-07-16,81.32,81.37,80.91,80.97,11208600,78.52
2013-07-15,81.37,81.59,80.85,81.51,10024700,79.04
2013-07-12,80.67,81.64,80.67,81.55,12586300,79.08
2013-07-11,80.55,80.99,80.29,80.77,9185400,78.32
2013-07-10,79.65,80.10,79.30,79.80,6862800,77.38
2013-07-09,79.07,79.90,79.07,79.57,11456200,77.16
2013-07-08,78.54,79.08,78.50,78.76,11141400,76.38
2013-07-05,78.89,79.02,77.78,78.34,7264700,75.97
2013-07-03,78.28,78.75,77.43,78.57,5339900,76.19
2013-07-02,77.95,78.61,77.71,78.44,10228500,76.07
2013-07-01,77.02,78.45,77.00,78.02,6699200,75.66
2013-06-28,77.62,77.94,76.90,76.99,9865300,74.66
2013-06-27,77.96,78.38,77.57,77.67,14731500,75.32
2013-06-26,77.23,77.59,77.02,77.40,7326500,75.06
2013-06-25,77.10,77.24,76.29,76.69,7909400,74.37
2013-06-24,76.95,77.43,75.63,76.58,12563300,74.26
2013-06-21,76.25,77.53,75.69,77.43,20055700,75.09
2013-06-20,77.21,77.33,75.10,75.25,15555700,72.97
2013-06-19,79.05,79.47,77.59,77.61,7424500,75.26
2013-06-18,78.95,79.23,78.70,79.04,6051400,76.65
2013-06-17,78.26,79.47,78.25,78.96,7359900,76.57
2013-06-14,78.49,78.79,77.67,78.03,6825900,75.67
2013-06-13,77.54,78.69,77.14,78.43,6927700,76.06
2013-06-12,78.64,78.89,77.48,77.60,7834200,75.25
2013-06-11,77.68,78.75,77.45,78.12,6781200,75.75
2013-06-10,77.69,78.22,77.26,78.07,8966400,75.71
2013-06-07,77.44,78.28,77.27,77.75,7839500,75.40
2013-06-06,76.56,76.97,75.83,76.82,11099900,74.49
2013-06-05,77.08,77.21,76.63,76.66,8826900,74.34
2013-06-04,77.71,78.47,76.75,77.37,11379300,75.03
2013-06-03,76.87,77.70,76.12,77.66,11720600,75.31
2013-05-31,78.79,78.81,76.75,76.76,16461900,74.44
2013-05-30,78.90,79.88,78.90,79.09,14761500,76.70
2013-05-29,80.16,80.25,78.87,78.90,9992500,76.51
2013-05-28,82.05,82.13,80.77,80.86,14372700,78.41
2013-05-24,81.88,82.35,81.44,81.88,25580900,79.40
2013-05-23,78.27,79.11,78.23,78.70,7141200,76.32
2013-05-22,78.84,79.68,78.62,78.82,8873300,76.43
2013-05-21,79.17,79.22,78.22,78.80,7377700,76.41
2013-05-20,79.98,79.98,78.78,79.09,7307300,76.70
2013-05-17,79.91,80.18,79.31,80.02,8549900,77.60
2013-05-16,80.49,80.74,79.89,80.20,8065600,77.77
2013-05-15,79.47,81.00,79.47,80.68,11154400,78.24
2013-05-14,78.93,79.47,78.74,79.47,6867400,77.06
2013-05-13,78.51,78.97,78.42,78.59,5420200,76.21
2013-05-10,78.41,78.79,78.23,78.76,6162500,76.38
2013-05-09,78.57,78.89,78.02,78.21,7189400,75.84
2013-05-08,77.90,78.51,77.23,78.44,12067300,76.07
2013-05-07,77.98,78.20,77.27,77.94,9574200,75.58
2013-05-06,78.03,78.40,77.52,77.75,7204200,75.40
2013-05-03,78.10,78.46,77.66,78.19,7884000,75.82
2013-05-02,77.39,78.28,77.14,77.76,7288200,75.41
2013-05-01,76.83,77.77,76.72,76.99,8388800,74.66
2013-04-30,77.86,77.89,76.60,76.77,9653800,74.45
2013-04-29,77.56,77.98,77.23,77.68,6638100,75.33
2013-04-26,76.72,77.22,76.58,77.10,8769100,74.77
2013-04-25,77.67,77.67,76.35,76.58,14702300,74.26
2013-04-24,79.49,79.61,76.93,77.12,25708200,74.79
2013-04-23,81.46,82.54,80.51,82.54,12684800,79.46
2013-04-22,81.31,81.59,81.12,81.40,7530300,78.36
2013-04-19,80.37,81.70,80.20,81.43,13147600,78.39
2013-04-18,79.09,80.18,79.06,79.87,10896200,76.89
2013-04-17,79.98,80.14,78.85,79.06,10964600,76.11
2013-04-16,79.83,80.21,79.37,80.10,9365600,77.11
2013-04-15,79.79,80.84,79.60,79.65,10877200,76.68
2013-04-12,79.51,80.66,79.47,80.08,9383400,77.09
2013-04-11,79.37,80.13,79.33,79.67,11831600,76.69
2013-04-10,78.49,79.49,78.43,79.24,7947600,76.28
2013-04-09,78.82,78.89,78.07,78.26,6760600,75.34
2013-04-08,78.12,78.88,77.88,78.79,6284500,75.85
2013-04-05,77.88,78.39,77.83,78.23,6562600,75.31
2013-04-04,78.32,78.98,78.25,78.54,8770600,75.61
2013-04-03,78.88,79.08,77.84,78.12,8426700,75.20
2013-04-02,77.84,79.15,77.65,78.96,13373600,76.01
2013-04-01,76.85,77.85,76.73,77.70,7266000,74.80
2013-03-28,76.95,77.16,76.66,77.06,8016700,74.18
2013-03-27,76.98,77.11,76.57,77.06,5274600,74.18
2013-03-26,77.02,77.50,76.89,77.40,5386000,74.51
2013-03-25,77.27,77.62,76.44,76.68,6843600,73.82
2013-03-22,77.18,77.45,77.00,77.27,5868400,74.38
2013-03-21,77.42,77.67,77.14,77.21,6319500,74.33
2013-03-20,77.29,77.82,77.27,77.58,8615800,74.68
2013-03-19,76.14,77.18,76.11,77.11,9326400,74.23
2013-03-18,75.90,76.55,75.80,76.16,7081800,73.32
2013-03-15,77.08,77.38,76.34,76.34,15237000,73.49
2013-03-14,76.87,77.47,76.83,77.39,8079100,74.50
2013-03-13,77.07,77.10,76.52,76.80,6340300,73.93
2013-03-12,77.19,77.45,77.00,77.17,7016700,74.29
2013-03-11,77.02,77.39,76.90,77.35,6621000,74.46
2013-03-08,77.01,77.20,76.46,77.18,7252800,74.30
2013-03-07,77.22,77.49,76.78,76.90,7111400,74.03
2013-03-06,77.01,77.45,76.81,77.20,7194700,74.32
2013-03-05,76.78,77.39,76.72,77.05,9716200,74.17
2013-03-04,76.25,76.68,75.97,76.68,7631000,73.82
2013-03-01,75.70,76.72,75.56,76.49,9599700,73.63
2013-02-28,76.66,76.91,76.17,76.18,10466900,73.33
2013-02-27,75.95,76.95,75.70,76.75,7567800,73.88
2013-02-26,75.99,76.38,75.77,76.08,8378900,73.24
2013-02-25,77.07,77.67,75.92,75.92,9970400,73.08
2013-02-22,77.05,77.19,76.75,76.99,8433200,74.11
2013-02-21,76.28,77.20,75.90,77.04,10305200,74.16
2013-02-20,77.27,77.52,76.92,77.08,9275400,74.20
2013-02-19,76.56,77.77,76.49,77.38,11783500,74.49
2013-02-15,76.72,76.96,76.21,76.54,11165600,73.68
2013-02-14,76.30,76.97,76.25,76.78,10049400,73.91
2013-02-13,76.01,76.58,75.98,76.56,7113300,73.70
2013-02-12,75.96,76.31,75.81,75.98,6281000,73.14
2013-02-11,75.41,75.92,75.12,75.81,6928200,72.98
2013-02-08,76.15,76.48,75.56,75.75,9130700,72.92
2013-02-07,75.98,76.42,75.79,76.15,9897000,73.31
2013-02-06,75.32,76.19,75.04,76.15,17015800,73.31
2013-02-05,75.44,76.69,75.32,75.70,14851700,72.87
2013-02-04,75.69,75.80,74.95,75.25,11086000,72.44
2013-02-01,75.30,75.97,75.17,75.92,12204000,73.08
2013-01-31,74.83,75.26,74.67,75.16,11661500,72.35
2013-01-30,74.75,75.48,74.67,75.08,12677800,72.28
2013-01-29,73.55,75.31,73.52,75.00,17576700,72.20
2013-01-28,73.73,74.23,73.19,73.77,14010000,71.01
2013-01-25,71.75,73.25,71.75,73.25,28760300,70.51
2013-01-24,70.68,70.85,70.20,70.42,8877200,67.79
2013-01-23,69.84,70.70,69.80,70.69,10588600,68.05
2013-01-22,69.86,69.98,69.75,69.95,8313600,67.34
2013-01-18,69.69,70.00,69.67,69.94,10610800,67.33
2013-01-17,69.56,69.96,69.34,69.67,6263300,67.07
