stock_code,2013-10-22,2013-10-23,2013-10-24,2013-10-25,2013-10-28,2013-10-29,2013-10-30,2013-10-31,2013-11-01,2013-11-04,2013-11-05,2013-11-06,2013-11-07,2013-11-08,2013-11-11,2013-11-12,2013-11-13,2013-11-14,2013-11-15,2013-11-18,2013-11-19,2013-11-20,2013-11-21,2013-11-22,2013-11-25,2013-11-26,2013-11-27,2013-11-29,2013-12-02,2013-12-03,2013-12-04,2013-12-05,2013-12-06,2013-12-09,2013-12-10,2013-12-11,2013-12-12,2013-12-13,2013-12-16,2013-12-17,2013-12-18,2013-12-19,2013-12-20,2013-12-23,2013-12-24,2013-12-26,2013-12-27,2013-12-30,2013-12-31,2014-01-02,2014-01-03,2014-01-06,2014-01-07,2014-01-08,2014-01-09,2014-01-10,2014-01-13,2014-01-14,2014-01-15,2014-01-16,2014-01-17,2014-01-21,2014-01-22,2014-01-23,2014-01-24,2014-01-27,2014-01-28,2014-01-29,2014-01-30,2014-01-31,2014-02-03,2014-02-04,2014-02-05,2014-02-06,2014-02-07,2014-02-10,2014-02-11,2014-02-12,2014-02-13,2014-02-14,2014-02-18,2014-02-19,2014-02-20,2014-02-21,2014-02-24,2014-02-25,2014-02-26,2014-02-27,2014-02-28,2014-03-03,2014-03-04,2014-03-05,2014-03-06,2014-03-07,2014-03-10,2014-03-11,2014-03-12,2014-03-13,2014-03-14,2014-03-17,2014-03-18,2014-03-19,2014-03-20,2014-03-21,2014-03-24,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-28,2014-04-29
AXP,15,12,16,2,16,8,22,28,13,23,14,23,25,17,26,21,15,15,3,23,11,17,2,26,3,8,5,5,21,21,15,10,11,24,18,24,17,7,9,16,9,6,4,11,15,26,8,10,1,25,9,12,26,6,24,24,26,22,7,23,2,17,4,30,21,26,7,20,10,27,20,7,21,2,4,4,28,6,28,26,13,9,23,18,6,13,24,12,3,26,1,20,1,10,12,17,23,28,22,11,19,20,10,16,21,22,28,7,14,29,4,30,5,28,29,19,2,30,21,11,14,6,28,10,13,9,9,15,22,12
BA,12,1,21,4,28,29,5,3,1,21,4,27,22,9,30,15,12,3,10,1,28,30,17,1,30,2,21,23,12,27,18,2,6,27,20,8,5,3,16,5,30,21,6,26,18,7,30,28,16,3,5,4,4,8,2,19,9,30,18,19,8,4,1,29,28,5,25,30,30,18,12,29,23,18,1,16,1,27,3,17,7,29,9,26,10,30,21,3,16,9,12,27,25,21,30,22,29,25,1,3,30,29,9,25,7,16,14,23,7,12,2,19,9,21,21,29,4,25,23,13,9,8,3,19,26,1,23,22,29,8
CVX,14,14,15,20,15,17,26,17,30,17,6,3,20,15,16,29,23,18,21,9,1,11,9,13,23,24,25,8,13,6,26,15,23,3,6,15,20,28,21,28,5,1,24,22,11,6,5,29,11,11,12,14,9,27,12,30,22,20,27,20,6,2,10,24,15,10,19,12,21,30,2,24,28,10,21,22,5,21,13,11,26,2,11,29,7,2,8,20,27,7,29,22,15,14,2,25,1,14,20,20,5,19,22,13,11,11,4,17,11,23,17,13,23,8,19,13,10,19,3,5,5,10,2,12,25,4,19,12,10,20
CSCO,29,28,14,14,10,7,20,22,23,19,1,14,13,7,20,2,7,30,6,29,4,26,10,25,27,18,16,15,23,2,13,27,9,25,9,22,27,29,2,3,28,10,12,1,13,23,1,3,6,23,19,9,6,11,27,8,3,10,5,11,11,8,11,17,12,23,29,7,8,9,8,10,3,3,19,9,30,5,30,7,25,16,24,24,22,27,10,24,29,21,18,8,27,25,14,14,2,21,24,23,14,5,13,24,17,2,7,29,3,22,1,28,7,26,5,12,18,20,18,2,19,22,7,6,11,14,25,25,20,15
DD,7,8,3,7,25,27,25,6,27,29,12,20,2,5,11,14,30,4,18,25,22,28,6,23,22,20,14,19,4,30,21,12,3,15,7,25,15,6,10,6,21,4,22,16,1,17,15,7,14,30,14,28,29,1,1,26,20,7,20,5,9,18,28,27,25,7,30,1,9,16,10,3,8,8,20,18,12,22,8,12,8,18,2,23,26,5,3,8,4,22,6,13,14,24,7,29,5,15,9,17,13,22,15,9,23,10,24,13,24,17,8,9,22,20,15,17,12,16,13,17,15,11,27,15,12,13,20,19,18,14
V,20,19,2,19,17,14,13,30,5,30,5,17,26,14,3,22,8,22,4,28,30,5,4,22,19,3,17,18,1,28,4,14,30,22,25,1,23,1,22,2,26,9,19,9,17,16,25,8,7,16,15,21,11,5,16,23,13,4,16,27,1,13,5,28,27,30,2,24,7,29,3,15,7,11,8,25,22,2,25,10,12,22,26,15,8,6,26,21,26,30,9,28,12,5,9,2,25,27,11,8,4,25,30,6,28,28,27,15,30,1,27,20,13,30,26,25,3,27,28,1,3,1,25,9,16,23,10,30,11,13
CAT,3,30,8,16,26,30,23,13,18,11,7,26,10,20,17,18,17,25,26,10,23,29,30,6,1,14,13,14,17,16,10,3,17,5,4,18,4,5,4,17,24,26,1,5,3,28,26,20,25,18,17,29,19,7,3,3,7,13,4,8,18,24,26,20,22,1,4,26,2,3,7,18,24,5,12,23,26,1,26,19,14,10,15,5,24,25,5,30,15,12,24,21,2,27,20,8,17,17,15,27,10,9,23,2,20,5,21,5,8,27,13,1,20,11,17,4,22,7,17,8,26,17,21,22,5,18,1,18,24,10
VZ,8,20,29,11,21,9,28,10,26,2,29,11,17,27,28,9,28,14,23,3,13,22,25,27,24,12,24,30,22,3,23,21,19,13,24,13,18,24,12,30,16,16,26,8,4,25,17,23,24,6,30,3,7,16,30,11,24,24,3,2,16,28,23,2,4,11,28,3,26,2,26,12,19,28,25,13,24,8,27,30,28,1,1,30,30,9,15,1,19,10,16,26,22,29,18,19,27,6,8,26,7,17,5,22,10,17,15,2,28,24,15,17,6,6,6,3,29,9,19,20,30,25,6,7,24,28,30,20,9,17
MSFT,27,29,23,1,24,28,4,19,16,3,2,1,27,19,29,25,1,24,29,30,24,1,15,14,14,25,4,1,2,14,1,30,25,2,30,17,22,30,18,25,29,30,2,29,2,9,29,21,18,15,29,30,10,30,26,1,30,2,2,6,26,20,22,5,1,29,15,2,19,1,28,26,29,19,13,10,20,3,17,27,10,4,17,4,28,20,23,5,2,25,10,23,24,28,16,4,4,11,21,16,1,16,3,19,4,27,29,28,1,3,6,21,30,29,9,16,6,26,9,28,4,5,26,20,19,27,7,8,2,29
IBM,6,3,6,28,14,1,29,21,25,6,28,9,1,28,1,12,20,28,16,6,7,10,29,29,29,30,3,3,28,20,16,6,26,21,13,10,21,22,1,27,20,3,21,3,12,2,21,6,9,20,6,16,3,22,18,16,25,11,11,3,3,23,30,6,13,25,27,5,20,11,16,21,2,22,5,21,10,10,6,9,20,8,16,25,17,16,9,11,24,8,17,6,20,18,29,7,22,16,28,1,15,23,6,23,5,1,26,30,17,9,7,29,25,13,1,27,5,5,8,7,28,28,30,3,22,16,26,13,4,9
HD,18,4,1,29,19,3,2,9,29,20,25,29,19,30,18,4,2,1,2,21,2,23,21,28,6,4,11,9,26,23,20,7,10,26,27,3,16,4,23,19,17,18,18,13,23,3,10,11,15,7,21,25,18,4,20,10,17,26,24,7,14,22,14,7,10,16,26,28,22,8,18,22,12,16,24,20,27,4,14,20,22,28,5,8,20,1,4,18,21,1,22,11,29,15,26,16,28,26,2,29,22,7,20,12,26,25,20,21,25,19,16,6,27,17,25,18,17,10,25,21,24,19,9,4,1,29,3,16,12,27
