date,trend_spread,high,high_today,high_after,high_trend,low,low_today,low_after,low_trend,spread_after
2013-11-01,8.071177297787784,MSFT,35.0,35.4,1.1428571428571388,MRK,44.48,44.96,1.079136690647491,-0.06372045220964773
2013-11-04,9.763063814416329,MSFT,35.4,36.09,1.949152542372895,V,195.67,196.62,0.4855113200797348,-1.4636412222931603
2013-11-05,7.378748119645542,XOM,90.73,91.94,1.3336272456739708,V,196.62,198.26,0.8340962262231646,-0.49953101945080625
2013-11-06,9.336353191415414,MSFT,37.61,36.94,-1.7814411060888107,V,198.26,195.35,-1.4677695954806802,0.3136715106081305
2013-11-07,9.559062345458992,MSFT,36.94,37.22,0.7579859231185737,V,195.35,197.53,1.1159457384182272,0.3579598152996535
2013-11-08,9.400984613568935,MSFT,37.22,37.03,-0.5104782375067107,HD,74.68,74.57,-0.14729512587039856,0.3631831116363122
2013-11-11,9.407795159410659,MSFT,37.03,36.8,-0.621118012422371,HD,74.57,75.37,1.0728174869250522,1.6939354993474232
2013-11-12,8.162002975523261,MRK,46.8,46.55,-0.5341880341880342,T,34.26,34.16,-0.2918855808523101,0.2423024533357241
2013-11-13,10.075277950330264,CSCO,23.62,21.03,-10.965283657917018,T,34.16,34.25,0.26346604215457675,11.228749700071594
2013-11-14,12.782837162442462,MRK,47.02,47.27,0.5316886431305827,CSCO,21.03,21.2,0.8083689966714128,0.2766803535408301
2013-11-15,12.771143490010623,JPM,54.17,55.03,1.5875946095624875,CSCO,21.2,20.95,-1.179245283018868,-2.7668398925813555
2013-11-18,15.794714089350986,JPM,55.03,55.44,0.7450481555515112,CSCO,20.95,21.08,0.6205250596658665,-0.1245230958856447
2013-11-19,15.357324555949447,HD,79.53,78.91,-0.7795800326920715,CSCO,21.08,20.89,-0.9013282732447712,-0.12174824055269962
2013-11-20,15.308769701923609,HD,78.91,78.99,0.10138132049169724,CSCO,20.89,21.13,1.1488750598372353,1.047493739345538
2013-11-21,15.532269421455727,JPM,56.49,56.73,0.42485395645246044,CSCO,21.13,21.12,-0.04732607666823479,-0.47218003312069523
2013-11-22,16.720826874531173,JPM,56.73,56.92,0.3349197955226597,CSCO,21.12,20.93,-0.899621212121218,-1.2345410076438776
2013-11-25,8.584156575477081,JPM,56.92,56.44,-0.8432888264230569,INTC,23.53,23.43,-0.4249893752656244,0.4182994511574325
2013-11-26,7.731063020500309,JPM,56.44,56.75,0.5492558469170842,INTC,23.43,23.67,1.0243277848911736,0.4750719379740894
2013-11-27,6.924447459170259,AXP,85.15,85.36,0.246623605402224,IBM,177.99,178.7,0.3988988145401312,0.1522752091379072
2013-11-29,7.561313996162815,AXP,85.36,84.86,-0.5857544517338332,INTC,23.61,23.48,-0.5506141465480686,0.03514030518576461
2013-12-02,8.411182329121324,MRK,49.34,48.93,-0.8309687880016289,IBM,176.51,175.12,-0.7874907937227276,0.04347799427890131
2013-12-03,9.620834213017677,WMT,80.22,79.71,-0.6357516828721081,INTC,23.33,23.52,0.8144020574367823,1.4501537403088904
2013-12-04,7.127422271955072,MSFT,38.65,37.72,-2.4062095730918496,MMM,125.63,126.0,0.29451564116851436,2.700725214260364
2013-12-05,5.476945035413775,INTC,24.03,24.59,2.3304203079483927,MMM,126.0,127.77,1.4047619047619015,-0.9256584031864912
2013-12-06,7.632005295494032,INTC,24.59,24.69,0.40666937779585777,MMM,127.77,127.73,-0.03130625342411524,-0.437975631219973
2013-12-09,8.003740644446978,INTC,24.69,24.59,-0.4050222762251981,MMM,127.73,126.72,-0.7907304470367221,-0.38570817081152403
2013-12-10,8.613992251448312,INTC,24.59,24.19,-1.6266775111834022,MMM,126.72,125.94,-0.615530303030304,1.011147208153098
2013-12-11,6.7299001326923475,INTC,24.19,24.24,0.20669698222404775,PFE,30.4,30.0,-1.315789473684206,-1.5224864559082536
2013-12-12,7.437842117297838,INTC,24.24,24.06,-0.7425742574257415,CSCO,20.18,19.92,-1.2884043607532112,-0.5458301033274697
2013-12-13,8.241394595946932,CAT,84.99,86.3,1.541357806800803,MSFT,36.42,36.62,0.5491488193300267,-0.9922089874707762
2013-12-16,6.7090325368164105,CAT,86.3,85.85,-0.5214368482039431,PFE,30.0,29.89,-0.36666666666666475,0.15477018153727834
2013-12-17,10.418104540037149,V,212.87,214.96,0.9818198900737556,MSFT,36.25,36.31,0.16551724137931662,-0.8163026486944389
2013-12-18,12.314969600155305,V,214.96,215.69,0.33959806475622895,MSFT,36.31,35.98,-0.9088405397962142,-1.2484386045524432
2013-12-19,13.23912072713588,V,215.69,215.58,-0.05099911910611767,MSFT,35.98,36.53,1.5286270150083499,1.5796261341144675
2013-12-20,10.45176127089621,MMM,135.83,135.91,0.058897150850315896,PG,80.58,80.06,-0.6453214197071184,-0.7042185705574343
2013-12-23,9.676707486537179,MMM,135.91,136.1,0.13979839599734953,MSFT,36.35,36.8,1.237964236588709,1.0981658405913595
2013-12-24,9.642240059060521,MMM,136.1,137.39,0.9478324761204937,PG,80.06,80.5,0.5495878091431398,-0.39824466697735394
2013-12-26,8.239073609013305,MMM,137.39,138.44,0.7642477618458486,PG,80.5,80.75,0.3105590062111801,-0.45368875563466854
2013-12-27,5.3124258811493945,MMM,138.44,138.51,0.05056342097659143,BA,136.13,135.16,-0.712554176155145,-0.7631175971317364
2013-12-30,6.409704030344707,CSCO,21.89,22.07,0.8222932846048411,PG,80.74,80.16,-0.7183552142680187,-1.54064849887286
2013-12-31,7.059299841499556,CSCO,22.07,21.81,-1.1780697779791642,PG,80.16,79.3,-1.072854291417165,0.1052154865619992
2014-01-02,6.933787362066991,DIS,76.27,76.11,-0.20978104103841166,PG,79.3,79.21,-0.11349306431274075,0.09628797672567091
2014-01-03,4.923603285527129,DIS,76.11,75.82,-0.3810274602549024,PG,79.21,79.4,0.2398687034465496,0.6208961637014521
2014-01-06,5.221917223514167,DIS,75.82,76.34,0.6858348720654317,MSFT,35.86,36.14,0.7808142777467963,0.09497940568136465
2014-01-07,6.117273531066638,CSCO,22.12,22.1,-0.0904159132007214,DD,61.89,62.69,1.292615931491351,1.3830318446920724
2014-01-08,6.97190665192348,BA,140.03,141.33,0.9283724916089491,MSFT,35.49,35.27,-0.6198929275852321,-1.5482654191941811
2014-01-09,9.266392092744422,BA,141.33,141.1,-0.16273968725678778,MSFT,35.27,35.77,1.417635384179189,1.5803750714359768
2014-01-10,7.778365317668706,BA,141.1,139.91,-0.8433734939759021,GE,26.73,26.5,-0.8604564160119732,-0.01708292203607109
2014-01-13,13.187315561904295,MRK,52.71,52.59,-0.2276607854297049,MSFT,34.72,35.51,2.2753456221198136,2.5030064075495186
2014-01-14,10.432477484229446,MRK,52.59,52.11,-0.9127210496292146,CVX,118.52,118.13,-0.32905838677016586,0.5836626628590488
2014-01-15,9.497366356467978,MRK,52.11,52.09,-0.03838034926117064,CVX,118.13,117.78,-0.2962837551849609,-0.2579034059237903
2014-01-16,9.759836985967924,MRK,52.09,51.55,-1.036667306584769,CVX,117.78,118.24,0.3905586687043588,1.4272259752891276
2014-01-17,9.269659932232699,V,231.76,231.51,-0.10787021056265103,NKE,73.17,73.52,0.4783381167144927,0.5862083272771438
2014-01-21,8.993271120792262,MRK,51.43,50.95,-0.9333074081275459,NKE,73.52,73.28,-0.32644178454841527,0.6068656235791305
2014-01-22,9.798030866470233,V,232.57,227.84,-2.0337962763898996,NKE,73.28,72.51,-1.0507641921397324,0.9830320842501672
2014-01-23,8.05638228551327,V,227.84,220.85,-3.067942415730341,TRV,82.58,81.13,-1.7558730927585406,1.3120693229718006
2014-01-24,10.417420103726297,MSFT,36.54,35.76,-2.1346469622331723,GE,24.73,24.85,0.4852405984634088,2.619887560696581
