date,trend_spread,high,high_today,high_after,low,low_today,low_after
2013-11-04,8.225330326981485,MSFT,35.4,36.09,MRK,44.96,44.6
2013-11-05,11.370154518238241,MSFT,36.09,37.61,V,196.62,198.26
2013-11-06,8.83878034010578,MSFT,37.61,36.94,V,198.26,195.35
2013-11-07,8.862639369167395,MSFT,36.94,37.22,V,195.35,197.53
2013-11-08,9.401837102461112,MSFT,37.22,37.03,T,34.26,34.12
2013-11-11,9.167288556610439,MSFT,37.03,36.8,T,34.12,34.26
2013-11-12,8.384112761415858,MRK,46.8,46.55,T,34.26,34.16
2013-11-13,10.629461756373948,MSFT,37.59,37.45,T,34.16,34.25
2013-11-14,11.146496005532759,MSFT,37.45,37.28,CSCO,21.03,21.2
2013-11-15,12.5944766006203,MRK,47.27,47.21,CSCO,21.2,20.95
2013-11-18,15.534220728484522,JPM,55.03,55.44,CSCO,20.95,21.08
2013-11-19,16.02711346129399,JPM,55.44,55.39,CSCO,21.08,20.89
2013-11-20,15.34855967678551,HD,78.91,78.99,CSCO,20.89,21.13
2013-11-21,14.37619009879636,HD,78.99,78.34,CSCO,21.13,21.12
2013-11-22,16.025546424368684,JPM,56.73,56.92,CSCO,21.12,20.93
2013-11-25,17.880702326911365,JPM,56.92,56.44,CSCO,20.93,20.87
2013-11-26,8.104375534049053,JPM,56.44,56.75,INTC,23.43,23.67
2013-11-27,7.315274565616228,JPM,56.75,56.49,INTC,23.67,23.61
2013-11-29,7.317807178395571,AXP,85.36,84.86,INTC,23.61,23.48
2013-12-02,8.829560124780917,MSFT,38.16,38.02,IBM,176.51,175.12
2013-12-03,8.29962063448665,MRK,48.93,48.49,IBM,175.12,174.78
2013-12-04,10.00412018255578,MSFT,38.65,37.72,INTC,23.52,24.03
2013-12-05,5.148960579568518,CAT,83.37,84.45,T,33.36,33.63
2013-12-06,7.263144580907609,INTC,24.59,24.69,JPM,55.35,55.79
2013-12-09,8.089275444522777,INTC,24.69,24.59,MMM,127.73,126.72
2013-12-10,8.342781938986699,INTC,24.59,24.19,MMM,126.72,125.94
2013-12-11,7.507852778539894,INTC,24.19,24.24,MMM,125.94,125.75
2013-12-12,8.209872979058993,INTC,24.24,24.06,PFE,30.0,30.0
2013-12-13,7.909133153957806,INTC,24.06,24.22,CSCO,19.92,20.35
2013-12-16,9.30338519935701,CAT,86.3,85.85,MSFT,36.62,36.25
2013-12-17,9.618517477862184,V,212.87,214.96,MSFT,36.25,36.31
2013-12-18,11.297669498360666,V,214.96,215.69,MSFT,36.31,35.98
2013-12-19,13.536666212837915,V,215.69,215.58,MSFT,35.98,36.53
2013-12-20,11.76846855251437,V,215.58,217.64,PFE,30.0,30.1
2013-12-23,11.143834290227902,MMM,135.91,136.1,PG,80.06,80.06
2013-12-24,9.427703800644235,MMM,136.1,137.39,PG,80.06,80.5
2013-12-26,10.126770048772046,MMM,137.39,138.44,PG,80.5,80.75
2013-12-27,8.756124155615558,MMM,138.44,138.51,PG,80.75,80.74
2013-12-30,7.853215818309227,DIS,76.23,76.4,BA,135.16,135.72
2013-12-31,7.996031109020621,CSCO,22.07,21.81,PG,80.16,79.3
2014-01-02,6.871547159626027,CSCO,21.81,21.79,PG,79.3,79.21
2014-01-03,6.824483132647419,DIS,76.11,75.82,PG,79.21,79.4
2014-01-06,4.929297329044326,DIS,75.82,76.34,CAT,87.55,87.84
2014-01-07,6.006007116149516,CSCO,22.12,22.1,DD,61.89,62.69
2014-01-08,7.524382685846621,CSCO,22.1,21.9,MSFT,35.49,35.27
2014-01-09,8.521310103132063,BA,141.33,141.1,MSFT,35.27,35.77
2014-01-10,7.745237183842621,BA,141.1,139.91,MSFT,35.77,34.72
2014-01-13,12.632472317278657,MRK,52.71,52.59,MSFT,34.72,35.51
2014-01-14,11.009210093510655,MRK,52.59,52.11,NKE,74.94,75.2
2014-01-15,9.77604032485666,MRK,52.11,52.09,CVX,118.13,117.78
2014-01-16,9.741554385816567,MRK,52.09,51.55,CVX,117.78,118.24
2014-01-17,10.098160516686978,V,231.76,231.51,NKE,73.17,73.52
2014-01-21,8.701523276975173,V,231.51,232.57,NKE,73.52,73.28
2014-01-22,9.638415715732611,V,232.57,227.84,NKE,73.28,72.51
2014-01-23,8.893428147068807,MRK,51.2,51.58,NKE,72.51,71.43
2014-01-24,11.921180766889835,MSFT,36.54,35.76,GE,24.73,24.85
2014-01-27,8.532568137454302,CAT,90.76,91.93,GE,24.85,25.24
2014-01-28,7.717235267539946,CAT,91.93,90.09,GS,165.69,163.35
2014-01-29,6.900426055463448,MRK,51.81,53.1,BA,129.05,125.82
2014-01-30,12.92302064093575,MRK,53.1,52.56,BA,125.82,124.56
2014-01-31,16.208282518637336,MSFT,37.56,36.21,BA,124.56,122.39
2014-02-03,17.843395413774275,CAT,91.88,91.96,BA,122.39,121.36
2014-02-04,18.18259134168975,CAT,91.96,91.42,BA,121.36,120.72
2014-02-05,17.86870424707166,CAT,91.42,93.28,BA,120.72,121.98
2014-02-06,15.55853597207486,PFE,30.84,31.22,BA,121.98,126.31
2014-02-07,13.868798342322169,DD,63.01,63.01,BA,126.31,126.45
2014-02-10,13.242742583240103,DIS,77.06,77.79,XOM,89.52,90.84
2014-02-11,9.23291707230523,DIS,77.79,77.91,UNH,70.37,69.99
2014-02-12,10.11793155591411,DIS,77.91,77.9,UNH,69.99,70.95
2014-02-13,10.649039683049795,DIS,77.9,79.23,UNH,70.95,73.26
2014-02-14,12.160967164850602,DIS,79.23,79.58,VZ,46.0,45.47
2014-02-18,12.434898002243164,DIS,79.58,78.87,VZ,45.47,46.02
2014-02-19,7.693337778062244,BA,128.39,129.56,KO,36.81,37.01
2014-02-20,6.988010275817325,XOM,95.37,95.03,KO,37.01,36.89
2014-02-21,9.761006820220294,XOM,95.03,96.44,KO,36.89,37.21
2014-02-24,10.578406305919023,UNH,75.74,75.05,KO,37.21,37.47
2014-02-25,11.686797521320354,UNH,75.05,75.79,CSCO,21.65,21.74
2014-02-26,11.268166406392899,UNH,75.79,75.75,T,31.59,31.81
2014-02-27,8.049410244794162,HD,81.5,81.56,CSCO,21.73,21.62
2014-02-28,8.599709520550082,HD,81.56,81.53,JPM,56.46,55.86
2014-03-03,10.431057027175122,HD,81.53,82.4,CSCO,21.39,21.64
2014-03-04,10.07192853122795,HD,82.4,82.44,T,31.73,31.71
2014-03-05,8.688342783013825,HD,82.44,81.94,T,31.71,31.92
2014-03-06,8.617214585564877,HD,81.94,82.08,XOM,93.76,94.99
2014-03-07,8.324480773169745,GS,174.26,173.51,XOM,94.99,95.5
2014-03-10,7.636581760316783,GS,173.51,169.89,CSCO,21.51,21.43
2014-03-11,6.139437421315405,MCD,98.78,98.71,BA,125.67,124.43
2014-03-12,7.224240869903609,MCD,98.71,97.37,BA,124.43,121.89
2014-03-13,8.170499931931571,MCD,97.37,97.58,BA,121.89,123.11
2014-03-14,8.204668653432961,MCD,97.58,97.6,BA,123.11,125.42
2014-03-17,6.77628655116399,MCD,97.6,97.31,PFE,31.42,31.93
2014-03-18,7.410218329543336,MSFT,39.55,39.27,BA,124.04,122.24
2014-03-19,8.583770684747357,UNH,79.96,81.53,BA,122.24,123.73
2014-03-20,10.0331508676553,MSFT,40.33,40.16,UTX,113.77,114.57
2014-03-21,11.000351867129872,T,33.86,34.01,NKE,75.21,74.86
2014-03-24,11.618775875821722,T,34.01,34.27,NKE,74.86,73.65
2014-03-25,13.542716823447321,T,34.27,34.16,NKE,73.65,73.22
2014-03-26,14.226409824275438,UNH,81.54,81.02,NKE,73.22,73.32
2014-03-27,13.481836421147204,T,34.51,34.62,NKE,73.32,73.54
2014-03-28,14.018914608827274,T,34.62,34.62,NKE,73.54,73.86
2014-03-31,13.108350928896185,T,34.62,34.64,NKE,73.86,74.39
2014-04-01,12.902940347305014,CSCO,23.1,22.99,NKE,74.39,74.54
2014-04-02,11.028903143038796,CSCO,22.99,23.09,V,214.66,215.01
2014-04-03,10.547865584250216,CSCO,23.09,22.71,V,215.01,207.7
2014-04-04,8.531549819428601,CAT,101.57,100.52,V,207.7,203.41
2014-04-07,10.062506138154067,INTC,26.49,26.91,V,203.41,202.59
2014-04-08,12.429968131005362,INTC,26.91,26.98,V,202.59,207.54
2014-04-09,7.859184642312433,INTC,26.98,26.43,GS,158.16,155.98
2014-04-10,9.534449109777263,CAT,101.66,100.86,V,201.55,196.63
2014-04-11,10.05904336234839,CAT,100.86,102.18,V,196.63,201.01
2014-04-14,11.714855892144408,INTC,26.56,26.77,JPM,54.96,54.8
2014-04-15,15.202824096483205,KO,40.18,40.59,JPM,54.8,55.26
2014-04-16,13.808365423002266,KO,40.59,40.72,JPM,55.26,55.22
2014-04-17,11.974350923332526,KO,40.72,40.75,UNH,75.78,74.95
2014-04-21,12.545990485119148,CVX,124.24,124.0,UNH,74.95,75.76
2014-04-22,11.328699244320612,KO,40.71,40.73,UNH,75.76,75.33
2014-04-23,12.681499918829294,CVX,124.69,124.3,UNH,75.33,76.59
2014-04-24,9.483664857342747,V,209.4,198.93,UNH,76.59,75.66
2014-04-25,10.332476434968903,KO,41.01,41.03,UNH,75.66,75.74
2014-04-28,11.9345830952961,PFE,32.04,31.76,UNH,75.74,75.2
